repeat,split,model,val_R2,val_MSE,val_MAE,inner_best_R2
1,1,SVR,0.634991208945192,0.11266806655355091,0.29202691725886365,0.3982391133859067
1,2,LGBMRegressor,0.46864894902262877,0.2092088168005553,0.317873586190373,0.40386901737165565
1,3,SVR,0.5469847710129322,0.15477146810811643,0.28707895342255946,0.15302330785921034
1,4,XGBRegressor,0.5579405426979065,0.13646012544631958,0.2633214592933655,0.36854281425476076
1,5,RandomForestRegressor,0.39816299866444194,0.23918760208762493,0.38864124136666456,0.27772907504148553
2,1,CatBoostRegressor,0.23017056153583415,0.1527417647353586,0.26859916114974214,0.3726174828583547
2,2,ElasticNet,0.49886542558670044,0.10867899656295776,0.2735298275947571,0.26698981523513793
2,3,XGBRegressor,0.10723519325256348,0.2583925724029541,0.3689076900482178,0.42251813411712646
2,4,SVR,0.5118787334037642,0.11170512500255807,0.2316762604966281,0.3811076331266869
2,5,ElasticNet,0.4518272280693054,0.19972169399261475,0.2855055630207062,0.3216351270675659
3,1,SVR,0.16277083379916957,0.20098468125520763,0.2962834406775854,0.4044911485333523
3,2,SVR,0.5623702647130391,0.16812857640900336,0.32170073599492,0.4090423694304583
3,3,ElasticNet,0.4150674343109131,0.21764567494392395,0.3545423150062561,0.21119166612625123
3,4,SVR,0.5957949915664562,0.09794759222778743,0.24242091438224195,0.3926320876804204
3,5,SVR,0.3747101775978582,0.12377337144880934,0.27359942509626717,0.2709853260719005
4,1,CatBoostRegressor,0.29096632647109777,0.2285484703141711,0.35166530923461137,0.36586903089446243
4,2,XGBRegressor,0.11522191762924194,0.22869694232940674,0.34435486793518066,0.3995755910873413
4,3,GradientBoostingRegressor,0.2901937066414142,0.28660913926257464,0.3801282491847779,0.584649661674703
4,4,XGBRegressor,0.41000330448150635,0.17896130681037903,0.28827300667762756,0.40877379179000856
4,5,ElasticNet,-4.271546363830566,0.1353265941143036,0.30213725566864014,0.41137934923172
5,1,SVR,0.6095339357229065,0.09494450428431057,0.2568396742205492,0.36593658300223053
5,2,GradientBoostingRegressor,0.08385808995686694,0.18945935377494924,0.30563678354963014,0.16433583474728133
5,3,SVR,0.3418038361813366,0.0883640915485532,0.21629446201127628,0.3638991490903262
5,4,SVR,0.1739668986109093,0.1796741598143377,0.32881176635443893,0.3874494037326313
5,5,RandomForestRegressor,-0.2193093971727249,0.4124033638589507,0.46432347774660837,0.34782119111259374
6,1,Ridge,0.4705045819282532,0.14712253212928772,0.30991196632385254,0.4666008710861206
6,2,SVR,0.36114102704845363,0.16518357695579422,0.31251928733550577,0.40751877733460207
6,3,Ridge,0.154089093208313,0.13584092259407043,0.328497976064682,0.5173467397689819
6,4,LinearRegression,0.1172979474067688,0.16913112998008728,0.3492925465106964,0.5483648657798768
6,5,Ridge,0.5351715087890625,0.2167552262544632,0.3640711307525635,0.46966713666915894
7,1,Ridge,0.29108524322509766,0.1811087429523468,0.36500003933906555,0.4626538157463074
7,2,SVR,0.3608096543068875,0.1975630435100596,0.3161883990815675,0.2984650035572277
7,3,GradientBoostingRegressor,0.4386722090675036,0.1321767929895818,0.25571139719217767,0.4191318519898785
7,4,SVR,0.5661757590862129,0.13530150132615262,0.29567892760105496,0.3756287191259203
7,5,XGBRegressor,0.2612646222114563,0.17204692959785461,0.26759862899780273,0.4116496205329895
8,1,SVR,0.5479670307403484,0.11647603467853651,0.2669875507686137,0.3878927556354366
8,2,SVR,0.06980468813636453,0.11564951527403344,0.2624697129036676,0.4462671073439517
8,3,CatBoostRegressor,0.18082251705069075,0.20219772697266067,0.3436121654491263,0.3321038021412518
8,4,LGBMRegressor,0.357001786009982,0.18521465280966348,0.3181287250979082,0.43456296453664345
8,5,CatBoostRegressor,0.26167301878056104,0.28452958075642765,0.4234924486724002,0.3339336266446719
9,1,SVR,0.4263954207871751,0.13211201259338667,0.24428034906649804,0.45807919016585785
9,2,SVR,0.330028482340157,0.18644430378375526,0.30855814490450534,0.39947974526417285
9,3,SVR,0.2877387595940749,0.12737227596568723,0.2983761831688095,0.45279485667684805
9,4,SVR,0.5130571011933989,0.12750052527351555,0.2812812461006803,0.42593506105816914
9,5,XGBRegressor,0.41772139072418213,0.16153541207313538,0.2756645083427429,0.3480235457420349
10,1,SVR,-0.09496098723904778,0.222219625804989,0.419109815486394,0.40292135107100435
10,2,SVR,0.2340141576780821,0.26441468404110496,0.43320707860279395,0.3259199657478099
10,3,SVR,0.3708302388357463,0.25833798507800476,0.38121773877348863,0.3568383731966996
10,4,GradientBoostingRegressor,0.362692441702377,0.3061126063147379,0.3977162214391572,0.2512208449586536
10,5,SVR,0.5200063204656048,0.13413168001907633,0.30838840969721243,0.3218465194943705
