,gen,nevals,avg,std,min,max
0,0,50,[0.9244911],[0.05165841],[0.7996591],[1.0079324]
1,1,5,[0.90733945],[0.01016689],[0.8948877],[0.9156408]
2,2,5,[0.8505316],[0.00451231],[0.8468473],[0.856058]
3,3,5,[0.84684736],[5.9604645e-08],[0.8468473],[0.8468473]
4,4,5,[0.84684736],[5.9604645e-08],[0.8468473],[0.8468473]
5,5,5,[0.7996959],[0.03849896],[0.7682616],[0.8468473]
6,6,5,[0.65526927],[0.05505862],[0.6277399],[0.76538646]
7,7,5,[0.6277399],[0.],[0.6277399],[0.6277399]
8,8,5,[0.6277399],[0.],[0.6277399],[0.6277399]
9,9,5,[0.6277399],[0.],[0.6277399],[0.6277399]
10,10,5,[0.6277399],[0.],[0.6277399],[0.6277399]
11,11,5,[0.6277399],[0.],[0.6277399],[0.6277399]
12,12,5,[0.5590563],[0.03434181],[0.5418854],[0.6277399]
13,13,5,[0.5418854],[0.],[0.5418854],[0.5418854]
14,14,5,[0.5418854],[0.],[0.5418854],[0.5418854]
15,15,5,[0.5418854],[0.],[0.5418854],[0.5418854]
16,16,5,[0.5418854],[0.],[0.5418854],[0.5418854]
17,17,5,[0.5418854],[0.],[0.5418854],[0.5418854]
18,18,5,[0.5418854],[0.],[0.5418854],[0.5418854]
19,19,5,[0.5418854],[0.],[0.5418854],[0.5418854]
20,20,5,[0.5418854],[0.],[0.5418854],[0.5418854]
21,21,5,[0.5418854],[0.],[0.5418854],[0.5418854]
22,22,5,[0.5418854],[0.],[0.5418854],[0.5418854]
23,23,5,[0.5967032],[0.10963557],[0.5418854],[0.8159743]
24,24,5,[0.5418854],[0.],[0.5418854],[0.5418854]
25,25,5,[0.5418854],[0.],[0.5418854],[0.5418854]
26,26,5,[0.5418854],[0.],[0.5418854],[0.5418854]
27,27,5,[0.5418854],[0.],[0.5418854],[0.5418854]
28,28,5,[0.43567857],[0.08671751],[0.364874],[0.5418854]
29,29,5,[0.31938344],[0.02274526],[0.30801085],[0.364874]
30,30,5,[0.30801085],[0.],[0.30801085],[0.30801085]
