,gen,nevals,avg,std,min,max
0,0,50,[0.9241843],[0.05809806],[0.77157557],[1.0040646]
1,1,5,[0.7706585],[0.02094986],[0.75608844],[0.80986774]
2,2,5,[0.82355595],[0.01494803],[0.7936599],[0.83103]
3,3,5,[0.6947082],[0.05462577],[0.6673954],[0.80395985]
4,4,5,[0.7524116],[0.0595368],[0.6794942],[0.8010232]
5,5,5,[0.8563551],[0.06752566],[0.8017695],[0.95326096]
6,6,5,[0.75410396],[0.02790103],[0.74015343],[0.809906]
7,7,5,[0.7914169],[0.00044875],[0.7910505],[0.7919665]
8,8,5,[0.84586513],[0.02240829],[0.8275688],[0.87330955]
9,9,5,[0.5930217],[0.04115629],[0.57244354],[0.6753343]
10,10,5,[0.63146937],[0.08145056],[0.5907441],[0.7943705]
11,11,5,[0.69819796],[0.17162065],[0.5580703],[0.9083895]
12,12,5,[0.59822357],[0.0408068],[0.5746948],[0.6792002]
13,13,5,[0.66718656],[0.04754234],[0.64341533],[0.76227117]
14,14,5,[0.6492204],[0.08084503],[0.5832107],[0.7482349]
15,15,5,[0.8261526],[0.00125257],[0.8246185],[0.8271753]
16,16,5,[0.83974236],[0.03245328],[0.8235158],[0.90464896]
17,17,5,[0.75412893],[0.04959136],[0.69339216],[0.7946201]
18,18,5,[0.8161353],[0.05656562],[0.78217286],[0.92879]
19,19,5,[0.8890401],[0.01086072],[0.8757385],[0.89790785]
20,20,5,[0.8178178],[0.03168781],[0.8019739],[0.8811934]
21,21,5,[0.8095728],[0.06770687],[0.75492483],[0.9077167]
22,22,5,[0.7580902],[0.],[0.7580902],[0.7580902]
23,23,5,[0.78353417],[0.0285007],[0.7692838],[0.8405355]
24,24,5,[0.8472065],[0.12323137],[0.69686294],[0.9671993]
25,25,5,[0.7469615],[0.02598826],[0.7151325],[0.7681808]
26,26,5,[0.73665637],[0.01476732],[0.72547394],[0.76216257]
27,27,5,[0.86421317],[0.09674273],[0.781792],[0.98260564]
28,28,5,[0.78436357],[0.02220245],[0.76623535],[0.8115559]
29,29,5,[0.38822037],[0.],[0.38822037],[0.38822037]
30,30,5,[0.6834622],[0.07701304],[0.6210875],[0.7924436]
