,gen,nevals,avg,std,min,max
0,0,50,[0.93941355],[0.05276166],[0.74638593],[1.0064397]
1,1,5,[0.71614295],[0.],[0.71614295],[0.71614295]
2,2,5,[0.7330636],[0.1166216],[0.59023184],[0.8282847]
3,3,5,[0.81228244],[0.00800107],[0.808282],[0.8282847]
4,4,5,[0.6216363],[0.08223741],[0.58051753],[0.78611106]
5,5,5,[0.582811],[0.00458698],[0.58051753],[0.591985]
6,6,5,[0.66552913],[0.05671154],[0.6371734],[0.77895224]
7,7,5,[0.705316],[0.13628519],[0.6371734],[0.9778864]
8,8,5,[0.8319036],[0.05956011],[0.76564187],[0.9215508]
9,9,5,[0.8494032],[0.00215094],[0.847647],[0.8520376]
10,10,5,[0.8107308],[0.04691297],[0.77268827],[0.8764503]
11,11,5,[0.7853793],[0.01036218],[0.77268827],[0.79384]
12,12,5,[0.74698174],[0.01311622],[0.74042356],[0.7732141]
13,13,5,[0.83731556],[0.00258873],[0.8360212],[0.842493]
14,14,5,[0.8667927],[0.0376872],[0.8360212],[0.91294986]
15,15,5,[0.7322661],[0.02548063],[0.7195259],[0.78322744]
16,16,5,[0.7504223],[0.02522678],[0.7195259],[0.7710198]
17,17,5,[0.74447984],[0.],[0.74447984],[0.74447984]
18,18,5,[0.6507478],[0.0400234],[0.63073605],[0.73079455]
19,19,5,[0.7490281],[0.03408379],[0.7214744],[0.7979247]
20,20,5,[0.42810112],[0.17625879],[0.33997172],[0.78061867]
21,21,5,[0.8144442],[0.01074065],[0.8056745],[0.82759875]
22,22,5,[0.7458128],[0.00348437],[0.7440706],[0.7527815]
23,23,5,[0.7459992],[0.00843019],[0.7417842],[0.7628597]
24,24,5,[0.75170755],[0.],[0.75170755],[0.75170755]
25,25,5,[0.8037351],[0.07077701],[0.75170755],[0.93048704]
26,26,5,[0.45281467],[0.1539886],[0.3758204],[0.7607919]
27,27,5,[0.7355545],[0.00382664],[0.73364127],[0.7432079]
28,28,5,[0.77554375],[0.01754715],[0.7612165],[0.7970345]
29,29,5,[0.779127],[0.02812751],[0.7612165],[0.8338306]
30,30,5,[0.62688816],[0.05470267],[0.59953684],[0.7362935]
