,gen,nevals,avg,std,min,max
0,0,50,[0.93410295],[0.03838498],[0.8196469],[0.9879588]
1,1,5,[0.6331171],[0.15099125],[0.5576214],[0.93509954]
2,2,5,[0.65170735],[0.07682083],[0.5576214],[0.7144313]
3,3,5,[0.37100774],[0.],[0.37100774],[0.37100774]
4,4,5,[0.8132186],[0.00869416],[0.80662364],[0.8281973]
5,5,5,[0.8227707],[0.02734367],[0.7763388],[0.86235386]
6,6,5,[0.87430537],[0.04977378],[0.8256126],[0.9350157]
7,7,5,[0.78582823],[0.05036936],[0.76064354],[0.88656694]
8,8,5,[0.62922686],[0.1088099],[0.57482195],[0.8468467]
9,9,5,[0.7583397],[0.],[0.7583397],[0.7583397]
10,10,5,[0.73988277],[0.00922847],[0.73526853],[0.7583397]
11,11,5,[0.8663198],[0.05606144],[0.8151146],[0.96864516]
12,12,5,[0.81279373],[0.06346107],[0.76097804],[0.8905174]
13,13,5,[0.7126656],[0.],[0.7126656],[0.7126656]
14,14,5,[0.7639383],[0.05144573],[0.7220726],[0.83336246]
15,15,5,[0.6095687],[0.],[0.6095687],[0.6095687]
16,16,5,[0.6594449],[0.0610857],[0.6095687],[0.73425937]
17,17,5,[0.62246835],[0.02579932],[0.6095687],[0.674067]
18,18,5,[0.5634343],[0.03766857],[0.53267807],[0.6095687]
19,19,5,[0.3334433],[0.],[0.3334433],[0.3334433]
20,20,5,[0.3069839],[0.01322972],[0.30036902],[0.3334433]
21,21,5,[0.30676827],[0.01279852],[0.30036902],[0.33236533]
22,22,5,[0.45863873],[0.1046063],[0.3849915],[0.65287423]
23,23,5,[0.36443964],[0.01027595],[0.35930163],[0.3849915]
24,24,5,[0.47036344],[0.13602236],[0.35930163],[0.6369561]
25,25,5,[0.37288222],[0.02716128],[0.35930163],[0.42720482]
26,26,5,[0.6069897],[0.20223646],[0.35930163],[0.77211505]
27,27,5,[0.5165709],[0.1926148],[0.35930163],[0.7524749]
28,28,5,[0.41756544],[0.14798729],[0.3435718],[0.71354]
29,29,5,[0.54887104],[0.11482404],[0.3435718],[0.69983804]
30,30,5,[0.5670768],[0.00011636],[0.5669818],[0.5672193]
