,gen,nevals,avg,std,min,max
0,0,50,[0.90038],[0.07669467],[0.5957588],[1.0089053]
1,1,5,[0.91167164],[0.004518],[0.9079827],[0.91720504]
2,2,5,[0.8126688],[0.04831779],[0.78850996],[0.90930444]
3,3,5,[0.78850996],[0.],[0.78850996],[0.78850996]
4,4,5,[0.78850996],[0.],[0.78850996],[0.78850996]
5,5,5,[0.78850996],[0.],[0.78850996],[0.78850996]
6,6,5,[0.78850996],[0.],[0.78850996],[0.78850996]
7,7,5,[0.78850996],[0.],[0.78850996],[0.78850996]
8,8,5,[0.78850996],[0.],[0.78850996],[0.78850996]
9,9,5,[0.78850996],[0.],[0.78850996],[0.78850996]
10,10,5,[0.6154543],[0.2119491],[0.3558707],[0.78850996]
11,11,5,[0.34384528],[0.00078682],[0.34345186],[0.3454189]
12,12,5,[0.34345186],[0.],[0.34345186],[0.34345186]
13,13,5,[0.34345186],[0.],[0.34345186],[0.34345186]
14,14,5,[0.34345186],[0.],[0.34345186],[0.34345186]
15,15,5,[0.33459634],[0.00442777],[0.33238244],[0.34345186]
16,16,5,[0.33238244],[0.],[0.33238244],[0.33238244]
17,17,5,[0.33238244],[0.],[0.33238244],[0.33238244]
18,18,5,[0.33238244],[0.],[0.33238244],[0.33238244]
19,19,5,[0.33238244],[0.],[0.33238244],[0.33238244]
20,20,5,[0.33238244],[0.],[0.33238244],[0.33238244]
21,21,5,[0.33238244],[0.],[0.33238244],[0.33238244]
22,22,5,[0.33238244],[0.],[0.33238244],[0.33238244]
23,23,5,[0.33238244],[0.],[0.33238244],[0.33238244]
24,24,5,[0.33238244],[0.],[0.33238244],[0.33238244]
25,25,5,[0.33238244],[0.],[0.33238244],[0.33238244]
26,26,5,[0.33238244],[0.],[0.33238244],[0.33238244]
27,27,5,[0.33238244],[0.],[0.33238244],[0.33238244]
28,28,5,[0.33238244],[0.],[0.33238244],[0.33238244]
29,29,5,[0.33238244],[0.],[0.33238244],[0.33238244]
30,30,5,[0.33238244],[0.],[0.33238244],[0.33238244]
