,gen,nevals,avg,std,min,max
0,0,50,[0.93330735],[0.06340556],[0.5950089],[0.9976062]
1,1,5,[0.7955736],[0.06345593],[0.7178562],[0.8473851]
2,2,5,[0.78434473],[0.01231775],[0.77818584],[0.8089802]
3,3,5,[0.79546803],[0.01778755],[0.78657424],[0.8310431]
4,4,5,[0.7954875],[0.04782107],[0.771577],[0.8911297]
5,5,5,[0.7419294],[0.],[0.7419294],[0.7419294]
6,6,5,[0.81976557],[0.05492209],[0.77492183],[0.8870311]
7,7,5,[0.21906164],[1.4901161e-08],[0.21906163],[0.21906163]
8,8,5,[0.579436],[0.19187611],[0.34823343],[0.7962881]
9,9,5,[0.47196826],[0.14965177],[0.3971424],[0.7712718]
10,10,5,[0.40777364],[0.18705495],[0.25506324],[0.64154625]
11,11,5,[0.5663508],[0.00343828],[0.56463164],[0.57322735]
12,12,5,[0.727558],[0.03628517],[0.70337516],[0.79697585]
13,13,5,[0.6071085],[0.00310314],[0.6055569],[0.61331475]
14,14,5,[0.8252714],[0.],[0.8252714],[0.8252714]
15,15,5,[0.91376513],[0.00071936],[0.9134054],[0.9152038]
16,16,5,[0.85338],[0.077609],[0.75832874],[0.91674745]
17,17,5,[0.78785455],[0.04102552],[0.7615188],[0.86744356]
18,18,5,[0.77847266],[0.01926429],[0.7688405],[0.8170012]
19,19,5,[0.66370285],[0.07434683],[0.60500294],[0.78170836]
20,20,5,[0.72166336],[0.],[0.72166336],[0.72166336]
21,21,5,[0.7167554],[0.02849197],[0.7025094],[0.77373934]
22,22,5,[0.7672606],[0.02852916],[0.7445646],[0.81145954]
23,23,5,[0.77353746],[0.02385059],[0.75500405],[0.81291527]
24,24,5,[0.8519004],[0.0176823],[0.8370813],[0.88532126]
25,25,5,[0.78522635],[0.],[0.78522635],[0.78522635]
26,26,5,[0.7855549],[0.02032504],[0.76265895],[0.81538206]
27,27,5,[0.7656847],[0.02904735],[0.75116104],[0.8237794]
28,28,5,[0.6890052],[0.05740998],[0.6603002],[0.80382514]
29,29,5,[0.2896411],[0.],[0.2896411],[0.2896411]
30,30,5,[0.37057543],[0.15215234],[0.26943165],[0.6619804]
