,gen,nevals,avg,std,min,max
0,0,30,[0.97198963],[0.05387992],[0.85722935],[1.0444686]
1,1,5,[0.9817532],[0.01962644],[0.9577158],[0.9977781]
2,2,5,[0.8899433],[0.00145338],[0.88875663],[0.89172333]
3,3,5,[0.87869805],[0.01231918],[0.8636102],[0.88875663]
4,4,5,[0.9168708],[0.03211364],[0.89104396],[0.9643783]
5,5,5,[0.88744795],[0.04610947],[0.8497997],[0.94392025]
6,6,5,[0.85975426],[0.02695618],[0.8462762],[0.91366667]
7,7,5,[0.86413765],[0.],[0.86413765],[0.86413765]
8,8,5,[0.8487995],[0.00399754],[0.8468008],[0.85679466]
9,9,5,[0.77845937],[0.],[0.77845937],[0.77845937]
10,10,5,[0.77845937],[0.],[0.77845937],[0.77845937]
11,11,5,[0.8446616],[0.10479038],[0.71632016],[0.93022263]
12,12,5,[0.92770636],[0.00508959],[0.9251616],[0.9378856]
13,13,5,[0.9030738],[0.04710381],[0.8795219],[0.99728143]
14,14,5,[0.8784294],[0.07163113],[0.7468389],[0.9429894]
15,15,5,[0.8184742],[0.08346207],[0.7767431],[0.9853983]
16,16,5,[0.779899],[0.0038652],[0.7767431],[0.7846329]
17,17,5,[0.80100346],[0.03274117],[0.7846329],[0.86648583]
18,18,5,[0.8054863],[0.04170675],[0.7846329],[0.8888998]
19,19,5,[0.87730235],[0.0313086],[0.839349],[0.91075397]
20,20,5,[0.85864353],[0.03858905],[0.839349],[0.9358216]
21,21,5,[0.8381895],[0.07239633],[0.7911695],[0.97809005]
22,22,5,[0.481757],[0.3192024],[0.22275352],[0.92652005]
23,23,5,[0.6512359],[0.34987757],[0.22275352],[0.94424844]
24,24,5,[0.5432497],[0.20927164],[0.38320372],[0.89921236]
25,25,5,[0.74115074],[0.15134168],[0.5557958],[0.8647207]
