,gen,nevals,avg,std,min,max
0,0,30,[0.96941876],[0.05013036],[0.8536784],[1.0514581]
1,1,5,[0.92735755],[0.00733294],[0.9236911],[0.94202346]
2,2,5,[0.82928026],[0.02075925],[0.81890064],[0.87079877]
3,3,5,[0.8584711],[0.00067958],[0.85791624],[0.8593034]
4,4,5,[0.8621295],[0.],[0.8621295],[0.8621295]
5,5,5,[0.8621295],[0.],[0.8621295],[0.8621295]
6,6,5,[0.8954134],[0.01814272],[0.8805999],[0.9176336]
7,7,5,[0.8815352],[0.01001725],[0.8735214],[0.8967238]
8,8,5,[0.883247],[0.00794093],[0.8735214],[0.88973075]
9,9,5,[0.8995861],[5.9604645e-08],[0.89958614],[0.89958614]
10,10,5,[0.9044706],[0.00398822],[0.89958614],[0.90772706]
11,11,5,[0.86703336],[0.00095284],[0.866557],[0.8689391]
12,12,5,[0.97867346],[0.03045273],[0.94311845],[1.0107731]
13,13,5,[0.97142637],[0.0112704],[0.9496611],[0.9825432]
14,14,5,[0.8593966],[5.9604645e-08],[0.8593965],[0.8593965]
15,15,5,[0.8919028],[0.03981189],[0.8593965],[0.9406622]
16,16,5,[0.82121485],[0.04676282],[0.7639423],[0.8593965]
17,17,5,[0.8665083],[0.00152268],[0.8657469],[0.8695536]
18,18,5,[0.8567854],[0.01097562],[0.843343],[0.8657469]
19,19,5,[0.8078429],[0.02895195],[0.793367],[0.8657469]
20,20,5,[0.8386179],[0.05542071],[0.793367],[0.9064941]
21,21,5,[0.8242427],[0.00381494],[0.8223352],[0.8318725]
22,22,5,[0.80155385],[0.03943768],[0.781835],[0.8804292]
23,23,5,[0.8113968],[0.05912359],[0.781835],[0.929644]
24,24,5,[0.80893195],[0.05419383],[0.781835],[0.9173196]
25,25,5,[0.82073104],[0.03839721],[0.7958673],[0.89500767]
