Model,CV_R2,Test_R2,MAE,MSE
XGBoost,0.293900179862976,0.4223096966743469,0.2804675996303558,0.1780347228050232
LightGBM,0.1493990167684856,0.3955828411974218,0.2731993551153384,0.1862714828290483
Random Forest,0.1493098415087662,0.3893044236656573,0.2742710130694105,0.1882063884260015
Gradient Boosting,0.2373239466680014,0.3609723391427519,0.3099508568302586,0.1969378734920026
Ridge,0.1942271649837494,0.3364219069480896,0.3301067948341369,0.2045039236545562
CatBoost,0.2469562944525054,0.3121861832967071,0.2607996800276743,0.2119729688042785
SVR,0.27736204356366,0.307686480052926,0.3214609489922789,0.2133597037493458
ElasticNet,0.2501741290092468,0.2929252982139587,0.3440489768981933,0.2179088741540908
