,gen,nevals,avg,std,min,max
0,0,30,[0.9754131],[0.05699245],[0.84063476],[1.0487667]
1,1,5,[0.85625726],[0.],[0.85625726],[0.85625726]
2,2,5,[0.8332842],[0.03902831],[0.81377006],[0.91134083]
3,3,5,[0.8260487],[0.01980422],[0.81614655],[0.8656571]
4,4,5,[0.81614655],[0.],[0.81614655],[0.81614655]
5,5,5,[0.76076955],[0.02768851],[0.7469253],[0.81614655]
6,6,5,[0.79074585],[0.],[0.79074585],[0.79074585]
7,7,5,[0.74217683],[0.02428453],[0.73003453],[0.79074585]
8,8,5,[0.9154211],[0.01700716],[0.9069175],[0.9494354]
9,9,5,[0.8986886],[0.00671891],[0.8932026],[0.9069175]
10,10,5,[0.8925845],[0.03582406],[0.8746725],[0.9642326]
11,11,5,[0.6608144],[0.31963658],[0.2693411],[0.92179656]
12,12,5,[0.93408775],[0.053461],[0.8905885],[1.0063725]
13,13,5,[0.85402286],[0.0126708],[0.8476875],[0.8793645]
14,14,5,[0.8829163],[0.04481182],[0.8476875],[0.954897]
15,15,5,[0.81311655],[0.05946638],[0.7833833],[0.9320493]
16,16,5,[0.7536995],[0.01484191],[0.7462785],[0.7833833]
17,17,5,[0.84743214],[0.08348849],[0.7462785],[0.9371506]
18,18,5,[0.7983123],[0.03427882],[0.7811729],[0.8668699]
19,19,5,[0.8627752],[0.05198651],[0.8342913],[0.96665084]
20,20,5,[0.94205797],[0.03790247],[0.92310673],[1.0178629]
21,21,5,[0.9102584],[0.],[0.9102584],[0.9102584]
22,22,5,[0.7587135],[0.],[0.7587135],[0.7587135]
23,23,5,[0.76947635],[0.06048841],[0.7200878],[0.84355927]
24,24,5,[0.7360983],[0.05572778],[0.69731915],[0.84567755]
25,25,5,[0.8619615],[5.9604645e-08],[0.8619614],[0.8619614]
