,gen,nevals,avg,std,min,max
0,0,30,[0.9281093],[0.0543495],[0.80812323],[1.0028702]
1,1,5,[0.81394845],[0.03706925],[0.7954138],[0.8880869]
2,2,5,[0.8063614],[0.01403471],[0.7954138],[0.82933974]
3,3,5,[0.85294247],[0.10077967],[0.72952133],[0.93734914]
4,4,5,[0.5485822],[0.05962141],[0.4999015],[0.6216032]
5,5,5,[0.5957873],[0.15972249],[0.46537438],[0.7914066]
6,6,5,[0.41267127],[0.11298805],[0.35617724],[0.6386474]
7,7,5,[0.41305447],[0.1137545],[0.35617724],[0.6405635]
8,8,5,[0.34225994],[0.01704512],[0.32138404],[0.35617724]
9,9,5,[0.5564369],[0.],[0.5564369],[0.5564369]
10,10,5,[0.55251247],[0.15803191],[0.25453064],[0.7290335]
11,11,5,[0.31195563],[0.1625891],[0.11101351],[0.60973495]
12,12,5,[0.35046378],[0.14157444],[0.27967656],[0.6336127]
13,13,5,[0.36911142],[0.17886972],[0.27967656],[0.7268508]
14,14,5,[0.6053505],[0.00744061],[0.6016302],[0.62023175]
15,15,5,[0.6032108],[0.00129056],[0.6016302],[0.60426456]
16,16,5,[0.60426456],[0.],[0.60426456],[0.60426456]
17,17,5,[0.7820805],[0.01501608],[0.76368964],[0.7943411]
18,18,5,[0.77125835],[0.05006623],[0.7339864],[0.85967886]
19,19,5,[0.79499894],[0.02188572],[0.7681945],[0.81286854]
20,20,5,[0.7312721],[0.09598941],[0.6137259],[0.81255597]
21,21,5,[0.795755],[0.01830624],[0.77356184],[0.8152982]
22,22,5,[0.740764],[0.03740513],[0.6949523],[0.7713052]
23,23,5,[0.7369065],[0.01887615],[0.7274684],[0.77465874]
24,24,5,[0.7505623],[0.01885946],[0.7274684],[0.76660186]
25,25,5,[0.77874595],[0.],[0.77874595],[0.77874595]
