,gen,nevals,avg,std,min,max
0,0,30,[0.9129954],[0.06620147],[0.7509697],[0.99545014]
1,1,5,[0.8231839],[0.01024197],[0.8148214],[0.83572775]
2,2,5,[0.747474],[0.],[0.747474],[0.747474]
3,3,5,[0.78364027],[0.03374258],[0.747474],[0.8375596]
4,4,5,[0.65582573],[0.06413046],[0.6034634],[0.73436916]
5,5,5,[0.71932685],[0.08900552],[0.6233148],[0.860286]
6,6,5,[0.8103628],[0.00052025],[0.81010264],[0.8114033]
7,7,5,[0.7598064],[0.00575501],[0.75510746],[0.7668548]
8,8,5,[0.60718393],[0.22317165],[0.33385563],[0.78940284]
9,9,5,[0.5053754],[0.20767418],[0.3358101],[0.75972325]
10,10,5,[0.45699555],[0.14842121],[0.3358101],[0.6387736]
11,11,5,[0.7244433],[0.03401638],[0.6839289],[0.7659252]
12,12,5,[0.8833181],[0.00478582],[0.88092524],[0.8928898]
13,13,5,[0.7912949],[0.01344342],[0.7845732],[0.81818175]
14,14,5,[0.61040485],[0.19039483],[0.37721977],[0.7658616]
15,15,5,[0.6494052],[0.05030515],[0.6242526],[0.7500155]
16,16,5,[0.634318],[0.02013078],[0.6242526],[0.67457956]
17,17,5,[0.5861064],[0.],[0.5861064],[0.5861064]
18,18,5,[0.6336323],[0.09505177],[0.5861064],[0.82373583]
19,19,5,[0.6825093],[0.14740181],[0.6002565],[0.9760282]
20,20,5,[0.7860744],[0.09290896],[0.6002565],[0.8325289]
21,21,5,[0.819726],[0.00248587],[0.81668144],[0.8217557]
22,22,5,[0.79751503],[0.01481131],[0.78325266],[0.8262193]
23,23,5,[0.7860223],[0.04647038],[0.75160277],[0.86857235]
24,24,5,[0.75160277],[0.],[0.75160277],[0.75160277]
25,25,5,[0.7710268],[0.02378946],[0.75160277],[0.8001628]
