,gen,nevals,avg,std,min,max
0,0,30,[0.9922534],[0.04150981],[0.87420017],[1.0501064]
1,1,5,[0.9606863],[0.00578244],[0.9577951],[0.9722512]
2,2,5,[0.94755554],[0.00836051],[0.94072926],[0.9577951]
3,3,5,[0.9289943],[0.00891053],[0.91808116],[0.9362697]
4,4,5,[0.9346368],[0.00207589],[0.9335988],[0.93878853]
5,5,5,[0.88403463],[0.02478208],[0.8716436],[0.9335988]
6,6,5,[0.84235203],[0.05313449],[0.8157848],[0.94862103]
7,7,5,[0.7743152],[0.02073481],[0.7639478],[0.8157848]
8,8,5,[0.7639478],[0.],[0.7639478],[0.7639478]
9,9,5,[0.895352],[0.00240166],[0.89415115],[0.9001553]
10,10,5,[0.8941511],[5.9604645e-08],[0.89415115],[0.89415115]
11,11,5,[0.8767667],[0.01419436],[0.86517704],[0.89415115]
12,12,5,[0.6825186],[0.09814906],[0.63344413],[0.8788168]
13,13,5,[0.6126481],[0.14614308],[0.49332273],[0.79163605]
14,14,5,[0.8246932],[0.09745175],[0.63096094],[0.89378357]
15,15,5,[0.8500227],[0.0572892],[0.8033477],[0.9259983]
16,16,5,[0.8904201],[0.09055866],[0.8033477],[1.0009679]
17,17,5,[0.82931215],[0.04130673],[0.8040766],[0.9104955]
18,18,5,[0.8080307],[5.9604645e-08],[0.80803066],[0.80803066]
19,19,5,[0.8080307],[5.9604645e-08],[0.80803066],[0.80803066]
20,20,5,[0.8879895],[0.07387784],[0.81720555],[0.9771877]
21,21,5,[0.7738494],[0.03319397],[0.75725245],[0.8402374]
22,22,5,[0.80738926],[0.08534608],[0.76471627],[0.97808146]
23,23,5,[0.9248664],[0.01668701],[0.9113756],[0.9487945]
24,24,5,[0.87846935],[0.01149173],[0.87272346],[0.9014528]
25,25,5,[0.8920512],[0.02367149],[0.87272346],[0.9210427]
