,gen,nevals,avg,std,min,max
0,0,30,[0.9237506],[0.05688421],[0.7923449],[0.9931009]
1,1,5,[0.54898006],[0.23976961],[0.3690805],[0.96835953]
2,2,5,[0.7803157],[0.04719115],[0.7550189],[0.8745439]
3,3,5,[0.38219532],[0.16648911],[0.29895076],[0.71517354]
4,4,5,[0.7502223],[0.01468136],[0.74288166],[0.77958506]
5,5,5,[0.74867904],[0.01159465],[0.74288166],[0.7718683]
6,6,5,[0.73067254],[0.12039078],[0.5992957],[0.91804606]
7,7,5,[0.6485425],[0.08461735],[0.60623384],[0.8177772]
8,8,5,[0.7894516],[0.00556419],[0.78666955],[0.80058]
9,9,5,[0.79622465],[0.00052598],[0.79579514],[0.7968688]
10,10,5,[0.5713841],[0.],[0.5713841],[0.5713841]
11,11,5,[0.5713841],[0.],[0.5713841],[0.5713841]
12,12,5,[0.6020107],[0.06125334],[0.5713841],[0.7245174]
13,13,5,[0.58406126],[0.01605878],[0.5760319],[0.6161789]
14,14,5,[0.6115975],[0.0406528],[0.5760319],[0.6872494]
15,15,5,[0.603881],[0.00600593],[0.5989772],[0.61123675]
16,16,5,[0.46278208],[2.9802322e-08],[0.4627821],[0.4627821]
17,17,5,[0.5427589],[0.15995352],[0.4627821],[0.8626659]
18,18,5,[0.5506423],[0.],[0.5506423],[0.5506423]
19,19,5,[0.6384536],[0.10754644],[0.5506423],[0.77017057]
20,20,5,[0.8031994],[0.06047966],[0.7661287],[0.9219805]
21,21,5,[0.75026333],[0.],[0.75026333],[0.75026333]
22,22,5,[0.7960835],[0.],[0.7960835],[0.7960835]
23,23,5,[0.72999775],[0.02019722],[0.71350676],[0.75473416]
24,24,5,[0.7023974],[0.01178649],[0.6965042],[0.7259704]
25,25,5,[0.5622825],[0.],[0.5622825],[0.5622825]
