,gen,nevals,avg,std,min,max
0,0,50,[0.9358401],[0.04740613],[0.7760651],[1.000098]
1,1,5,[0.8602945],[0.00941665],[0.85558623],[0.87912786]
2,2,5,[0.7779423],[0.04546094],[0.7377346],[0.8621619]
3,3,5,[0.7928465],[0.00320404],[0.79124445],[0.79925454]
4,4,5,[0.78088963],[0.00696068],[0.77740926],[0.79481095]
5,5,5,[0.686468],[0.14109045],[0.40428707],[0.7570132]
6,6,5,[0.7203722],[0.0539984],[0.693373],[0.828369]
7,7,5,[0.75175846],[0.01518152],[0.74416775],[0.78212154]
8,8,5,[0.8295352],[0.02153904],[0.8187657],[0.8726133]
9,9,5,[0.81727105],[5.9604645e-08],[0.817271],[0.817271]
10,10,5,[0.8547751],[0.01187911],[0.8402262],[0.8644743]
11,11,5,[0.76987875],[0.01931575],[0.7541075],[0.7935356]
12,12,5,[0.59440804],[0.],[0.59440804],[0.59440804]
13,13,5,[0.41365924],[0.18818797],[0.31956527],[0.7900352]
14,14,5,[0.36671296],[0.13444653],[0.29948968],[0.635606]
15,15,5,[0.33652738],[0.],[0.33652738],[0.33652738]
16,16,5,[0.52374935],[0.07029843],[0.43765172],[0.5811478]
17,17,5,[0.75954103],[0.00804238],[0.7555198],[0.77562577]
18,18,5,[0.73175144],[0.],[0.73175144],[0.73175144]
19,19,5,[0.5096036],[0.2263715],[0.32477203],[0.7868509]
20,20,5,[0.73677576],[0.04296216],[0.6841581],[0.7718542]
21,21,5,[0.7242793],[0.03072009],[0.7089192],[0.78571945]
22,22,5,[0.86994636],[0.00254111],[0.8686758],[0.8750286]
23,23,5,[0.57576466],[0.02096121],[0.5586499],[0.6014368]
24,24,5,[0.75160605],[0.00055475],[0.75132865],[0.7527155]
25,25,5,[0.56563395],[0.],[0.56563395],[0.56563395]
26,26,5,[0.6912488],[0.08875382],[0.6187816],[0.7999496]
27,27,5,[0.62550175],[0.18862185],[0.4775693],[0.9303491]
28,28,5,[0.836074],[0.00045181],[0.83570504],[0.8366273]
29,29,5,[0.82340604],[0.03475979],[0.7808342],[0.8517873]
30,30,5,[0.76384383],[0.03107147],[0.74830806],[0.82598674]
