,gen,nevals,avg,std,min,max
0,0,30,[0.926475],[0.06491087],[0.73464924],[1.0090069]
1,1,5,[0.94060975],[0.06404808],[0.81251353],[0.9726337]
2,2,5,[0.8664017],[0.01847426],[0.8513175],[0.88902795]
3,3,5,[0.8129138],[0.02664462],[0.79115856],[0.84554666]
4,4,5,[0.6887139],[0.05227932],[0.646028],[0.7527427]
5,5,5,[0.67429674],[0.00371637],[0.6724385],[0.68172944]
6,6,5,[0.75847876],[0.02282353],[0.747067],[0.8041258]
7,7,5,[0.6803678],[0.04163914],[0.6358178],[0.747067]
8,8,5,[0.70286393],[0.02259102],[0.69156843],[0.748046]
9,9,5,[0.7287706],[0.01027164],[0.7236348],[0.7493139]
10,10,5,[0.6952442],[0.02318081],[0.67631716],[0.7236348]
11,11,5,[0.54862803],[0.1650108],[0.4661227],[0.87864965]
12,12,5,[0.4881208],[0.13575421],[0.42024365],[0.7596292]
13,13,5,[0.42024365],[0.],[0.42024365],[0.42024365]
14,14,5,[0.43018454],[2.9802322e-08],[0.43018457],[0.43018457]
15,15,5,[0.48003358],[0.0610523],[0.43018457],[0.55480707]
16,16,5,[0.43018454],[2.9802322e-08],[0.43018457],[0.43018457]
17,17,5,[0.50474226],[0.09131419],[0.43018457],[0.6165789]
18,18,5,[0.7035147],[0.0799321],[0.6387954],[0.81689256]
19,19,5,[0.6891083],[0.1821295],[0.46604615],[0.8378165]
20,20,5,[0.6960349],[0.13655935],[0.5845347],[0.8632853]
21,21,5,[0.6506952],[0.08102972],[0.5845347],[0.7499359]
22,22,5,[0.38746992],[0.09853239],[0.33820373],[0.5845347]
23,23,5,[0.5772364],[0.20068392],[0.33820373],[0.77924275]
24,24,5,[0.49866423],[0.22245827],[0.31751367],[0.7961002]
25,25,5,[0.43260026],[0.23017314],[0.31751367],[0.89294654]
