,gen,nevals,avg,std,min,max
0,0,50,[0.9337943],[0.05183532],[0.8247919],[0.9976843]
1,1,5,[0.79490083],[0.03665667],[0.7765725],[0.8682142]
2,2,5,[0.7765725],[0.],[0.7765725],[0.7765725]
3,3,5,[0.7334509],[0.02156083],[0.72267044],[0.7765725]
4,4,5,[0.72267044],[0.],[0.72267044],[0.72267044]
5,5,5,[0.72267044],[0.],[0.72267044],[0.72267044]
6,6,5,[0.72267044],[0.],[0.72267044],[0.72267044]
7,7,5,[0.72267044],[0.],[0.72267044],[0.72267044]
8,8,5,[0.72267044],[0.],[0.72267044],[0.72267044]
9,9,5,[0.72267044],[0.],[0.72267044],[0.72267044]
10,10,5,[0.72267044],[0.],[0.72267044],[0.72267044]
11,11,5,[0.72267044],[0.],[0.72267044],[0.72267044]
12,12,5,[0.72267044],[0.],[0.72267044],[0.72267044]
13,13,5,[0.72267044],[0.],[0.72267044],[0.72267044]
14,14,5,[0.72267044],[0.],[0.72267044],[0.72267044]
15,15,5,[0.72267044],[0.],[0.72267044],[0.72267044]
16,16,5,[0.72267044],[0.],[0.72267044],[0.72267044]
17,17,5,[0.72267044],[0.],[0.72267044],[0.72267044]
18,18,5,[0.72267044],[0.],[0.72267044],[0.72267044]
19,19,5,[0.72267044],[0.],[0.72267044],[0.72267044]
20,20,5,[0.72267044],[0.],[0.72267044],[0.72267044]
21,21,5,[0.72267044],[0.],[0.72267044],[0.72267044]
22,22,5,[0.72267044],[0.],[0.72267044],[0.72267044]
23,23,5,[0.72267044],[0.],[0.72267044],[0.72267044]
24,24,5,[0.6217182],[0.08242712],[0.5544168],[0.72267044]
25,25,5,[0.55890095],[0.00829527],[0.55475324],[0.5754914]
26,26,5,[0.5545514],[0.00016484],[0.5544168],[0.55475324]
27,27,5,[0.55448407],[0.00013459],[0.5544168],[0.55475324]
28,28,5,[0.36696434],[0.],[0.36696434],[0.36696434]
29,29,5,[0.36696434],[0.],[0.36696434],[0.36696434]
30,30,5,[0.36696434],[0.],[0.36696434],[0.36696434]
