,gen,nevals,avg,std,min,max
0,0,50,[0.92611307],[0.06206691],[0.7701115],[0.9963324]
1,1,5,[0.9071121],[0.06107633],[0.80622524],[0.9708335]
2,2,5,[0.80327576],[0.00147471],[0.80253845],[0.80622524]
3,3,5,[0.7619437],[0.03209782],[0.7357445],[0.80253845]
4,4,5,[0.74636793],[0.00429347],[0.7442212],[0.7549549]
5,5,5,[0.7202303],[0.01199546],[0.71423256],[0.7442212]
6,6,5,[0.71758527],[0.00670545],[0.71423256],[0.7309962]
7,7,5,[0.71423256],[0.],[0.71423256],[0.71423256]
8,8,5,[0.71423256],[0.],[0.71423256],[0.71423256]
9,9,5,[0.6498057],[0.07890648],[0.5531654],[0.71423256]
10,10,5,[0.5871841],[0.06352427],[0.5554219],[0.71423256]
11,11,5,[0.5554219],[0.],[0.5554219],[0.5554219]
12,12,5,[0.5554219],[0.],[0.5554219],[0.5554219]
13,13,5,[0.5554219],[0.],[0.5554219],[0.5554219]
14,14,5,[0.5554219],[0.],[0.5554219],[0.5554219]
15,15,5,[0.5554219],[0.],[0.5554219],[0.5554219]
16,16,5,[0.5554219],[0.],[0.5554219],[0.5554219]
17,17,5,[0.50144315],[0.1079574],[0.2855284],[0.5554219]
18,18,5,[0.3351439],[0.11014008],[0.27975765],[0.5554219]
19,19,5,[0.2824988],[0.00287739],[0.27975765],[0.28597704]
20,20,5,[0.28001106],[0.00050683],[0.27975765],[0.28102472]
21,21,5,[0.27975765],[0.],[0.27975765],[0.27975765]
22,22,5,[0.27975765],[0.],[0.27975765],[0.27975765]
23,23,5,[0.27975765],[0.],[0.27975765],[0.27975765]
24,24,5,[0.27975765],[0.],[0.27975765],[0.27975765]
25,25,5,[0.27975765],[0.],[0.27975765],[0.27975765]
26,26,5,[0.27975765],[0.],[0.27975765],[0.27975765]
27,27,5,[0.27975765],[0.],[0.27975765],[0.27975765]
28,28,5,[0.27975765],[0.],[0.27975765],[0.27975765]
29,29,5,[0.27975765],[0.],[0.27975765],[0.27975765]
30,30,5,[0.27975765],[0.],[0.27975765],[0.27975765]
