,gen,nevals,avg,std,min,max
0,0,50,[0.9177186],[0.0609998],[0.7807762],[0.9876062]
1,1,5,[0.66006106],[0.06113383],[0.62949413],[0.7823287]
2,2,5,[0.7815672],[0.00198917],[0.7805726],[0.7855455]
3,3,5,[0.7805726],[0.],[0.7805726],[0.7805726]
4,4,5,[0.74353635],[0.0740725],[0.59539133],[0.7805726]
5,5,5,[0.7727599],[0.00536355],[0.76838064],[0.77932894]
6,6,5,[0.63584214],[0.],[0.63584214],[0.63584214]
7,7,5,[0.73665076],[0.08230989],[0.63584214],[0.8038565]
8,8,5,[0.744077],[0.00543056],[0.74136174],[0.7549381]
9,9,5,[0.7633607],[0.02694314],[0.74136174],[0.7963592]
10,10,5,[0.41833916],[0.11872552],[0.3589764],[0.6557902]
11,11,5,[0.61542034],[0.11806996],[0.5190166],[0.7600259]
12,12,5,[0.57292193],[0.23244077],[0.38313487],[0.8576026]
13,13,5,[0.80361634],[0.06490896],[0.7427582],[0.8823114]
14,14,5,[0.679532],[0.06388822],[0.6475879],[0.80730844]
15,15,5,[0.6953095],[0.09544329],[0.6475879],[0.88619614]
16,16,5,[0.67271316],[0.06742141],[0.63900244],[0.807556]
17,17,5,[0.6592129],[0.04042089],[0.63900244],[0.74005467]
18,18,5,[0.56953263],[0.],[0.56953263],[0.56953263]
19,19,5,[0.47349626],[0.2108512],[0.30133694],[0.73173517]
20,20,5,[0.5650582],[0.],[0.5650582],[0.5650582]
21,21,5,[0.60647935],[0.08284232],[0.5650582],[0.772164]
22,22,5,[0.6229246],[0.07087161],[0.5650582],[0.70972425]
23,23,5,[0.4006351],[0.2655632],[0.18832226],[0.8043791]
24,24,5,[0.5770528],[0.20249592],[0.41171557],[0.82505864]
25,25,5,[0.7483835],[0.05515092],[0.7064359],[0.84301543]
26,26,5,[0.7428715],[0.04672892],[0.7064359],[0.8194487]
27,27,5,[0.5446307],[0.],[0.5446307],[0.5446307]
28,28,5,[0.5856803],[0.0820991],[0.5446307],[0.74987847]
29,29,5,[0.46378118],[0.20028816],[0.3636371],[0.8643575]
30,30,5,[0.7589604],[0.04473513],[0.72243434],[0.81374955]
