,gen,nevals,avg,std,min,max
0,0,50,[0.92637444],[0.0576595],[0.7802054],[0.9907316]
1,1,5,[0.7942653],[0.01488871],[0.78210866],[0.8125001]
2,2,5,[0.7459779],[0.00596394],[0.74110836],[0.7532822]
3,3,5,[0.73013216],[0.],[0.73013216],[0.73013216]
4,4,5,[0.77568656],[0.05825162],[0.73013216],[0.87049687]
5,5,5,[0.7480451],[0.03582585],[0.73013216],[0.8196968]
6,6,5,[0.7045205],[0.13920611],[0.5930933],[0.9150869]
7,7,5,[0.73263633],[0.01895402],[0.7231593],[0.77054435]
8,8,5,[0.59429353],[0.08449531],[0.5520459],[0.76328415]
9,9,5,[0.58417183],[0.06761613],[0.54869825],[0.71937096]
10,10,5,[0.7140914],[0.00131474],[0.71343404],[0.7167209]
11,11,5,[0.67513645],[0.0469048],[0.61769],[0.71343404]
12,12,5,[0.7245141],[0.01136552],[0.71769124],[0.7469291]
13,13,5,[0.7014414],[0.],[0.7014414],[0.7014414]
14,14,5,[0.5945028],[0.],[0.5945028],[0.5945028]
15,15,5,[0.6628927],[0.08376019],[0.5945028],[0.7654776]
16,16,5,[0.7610618],[0.10133097],[0.55839986],[0.8117273]
17,17,5,[0.8777739],[0.01670359],[0.8641354],[0.89823145]
18,18,5,[0.8172957],[0.02349969],[0.8043365],[0.8641354]
19,19,5,[0.72737837],[0.],[0.72737837],[0.72737837]
20,20,5,[0.6877158],[0.10354228],[0.63594466],[0.89480036]
21,21,5,[0.66919476],[0.06650011],[0.63594466],[0.80219495]
22,22,5,[0.6344291],[0.00075779],[0.6340502],[0.63594466]
23,23,5,[0.692932],[0.07211607],[0.6340502],[0.7817944]
24,24,5,[0.71707785],[0.],[0.71707785],[0.71707785]
25,25,5,[0.8028865],[0.02889409],[0.7798429],[0.8472444]
26,26,5,[0.7927486],[0.01940108],[0.7769077],[0.81650996]
27,27,5,[0.8353292],[0.02504665],[0.81546426],[0.8745357]
28,28,5,[0.8125764],[0.04248512],[0.79133385],[0.89754665]
29,29,5,[0.7816264],[0.05747991],[0.7528865],[0.89658624]
30,30,5,[0.7528865],[0.],[0.7528865],[0.7528865]
