,gen,nevals,avg,std,min,max
0,0,30,[0.9260182],[0.05992507],[0.7647432],[0.9977004]
1,1,5,[0.83882684],[0.02837026],[0.82464176],[0.8955674]
2,2,5,[0.8309251],[0.0135941],[0.82395846],[0.8581081]
3,3,5,[0.8413417],[0.02509012],[0.82395846],[0.8884075]
4,4,5,[0.82142097],[0.01503332],[0.810023],[0.8473399]
5,5,5,[0.844269],[0.04194254],[0.810023],[0.89563787]
6,6,5,[0.7696476],[0.00238755],[0.76769817],[0.77257174]
7,7,5,[0.54062057],[0.26401007],[0.32512313],[0.8741853]
8,8,5,[0.7885294],[0.03826455],[0.74166507],[0.81977224]
9,9,5,[0.7912508],[0.],[0.7912508],[0.7912508]
10,10,5,[0.80008984],[0.01925008],[0.7904648],[0.83859]
11,11,5,[0.7229055],[0.1042606],[0.6377771],[0.85059816]
12,12,5,[0.78839815],[0.0163552],[0.76836723],[0.80175215]
13,13,5,[0.37433818],[0.14898275],[0.2998468],[0.6723037]
14,14,5,[0.77723473],[0.],[0.77723473],[0.77723473]
15,15,5,[0.7343044],[0.02146513],[0.7235719],[0.77723473]
16,16,5,[0.7964267],[0.01852577],[0.7737374],[0.81155294]
17,17,5,[0.792935],[0.00249004],[0.79169],[0.7979151]
18,18,5,[0.75337887],[0.10091034],[0.6350654],[0.85888225]
19,19,5,[0.5381227],[0.13078037],[0.4727325],[0.79968345]
20,20,5,[0.5210969],[0.09672872],[0.4727325],[0.7145543]
21,21,5,[0.5067034],[0.0679417],[0.4727325],[0.64258677]
22,22,5,[0.5328671],[0.12026917],[0.4727325],[0.77340543]
23,23,5,[0.43291408],[0.19069873],[0.27720922],[0.66647136]
24,24,5,[0.6927842],[0.07773859],[0.6300725],[0.80583555]
25,25,5,[0.7948017],[0.00848441],[0.79055953],[0.81177056]
