,gen,nevals,avg,std,min,max
0,0,50,[0.921073],[0.05307313],[0.773698],[0.9983582]
1,1,5,[0.90659964],[0.00269283],[0.905066],[0.911951]
2,2,5,[0.8577916],[0.02483687],[0.8453732],[0.9074654]
3,3,5,[0.77620995],[0.00564957],[0.77338517],[0.7875091]
4,4,5,[0.77338517],[0.],[0.77338517],[0.77338517]
5,5,5,[0.77338517],[0.],[0.77338517],[0.77338517]
6,6,5,[0.77338517],[0.],[0.77338517],[0.77338517]
7,7,5,[0.77338517],[0.],[0.77338517],[0.77338517]
8,8,5,[0.72137785],[0.04246377],[0.68670636],[0.77338517]
9,9,5,[0.74009097],[0.01838582],[0.7228569],[0.7731851]
10,10,5,[0.7112219],[0.00764917],[0.70185363],[0.7174674]
11,11,5,[0.7033386],[0.],[0.7033386],[0.7033386]
12,12,5,[0.6251148],[0.0391119],[0.6055589],[0.7033386]
13,13,5,[0.5715815],[0.01698871],[0.5630871],[0.6055589]
14,14,5,[0.5630871],[0.],[0.5630871],[0.5630871]
15,15,5,[0.5630871],[0.],[0.5630871],[0.5630871]
16,16,5,[0.5630871],[0.],[0.5630871],[0.5630871]
17,17,5,[0.41426784],[0.12151045],[0.31505495],[0.5630871]
18,18,5,[0.31505495],[0.],[0.31505495],[0.31505495]
19,19,5,[0.31505495],[0.],[0.31505495],[0.31505495]
20,20,5,[0.31505495],[0.],[0.31505495],[0.31505495]
21,21,5,[0.31505495],[0.],[0.31505495],[0.31505495]
22,22,5,[0.31505495],[0.],[0.31505495],[0.31505495]
23,23,5,[0.31505495],[0.],[0.31505495],[0.31505495]
24,24,5,[0.31505495],[0.],[0.31505495],[0.31505495]
25,25,5,[0.31505495],[0.],[0.31505495],[0.31505495]
26,26,5,[0.31505495],[0.],[0.31505495],[0.31505495]
27,27,5,[0.31505495],[0.],[0.31505495],[0.31505495]
28,28,5,[0.31505495],[0.],[0.31505495],[0.31505495]
29,29,5,[0.31505495],[0.],[0.31505495],[0.31505495]
30,30,5,[0.31505495],[0.],[0.31505495],[0.31505495]
