,gen,nevals,avg,std,min,max
0,0,50,[0.9323456],[0.05761291],[0.7749295],[1.0032557]
1,1,5,[0.81319076],[0.04354393],[0.7914188],[0.9002786]
2,2,5,[0.54041034],[0.16630888],[0.40461972],[0.7440963]
3,3,5,[0.44864178],[0.16039273],[0.36844543],[0.76942724]
4,4,5,[0.2973717],[0.01781193],[0.28282827],[0.31918672]
5,5,5,[0.40728393],[0.15458071],[0.31918672],[0.7162419]
6,6,5,[0.4567532],[0.16051896],[0.37649375],[0.77779114]
7,7,5,[0.55241096],[0.21545368],[0.37649375],[0.81628674]
8,8,5,[0.6033957],[0.],[0.6033957],[0.6033957]
9,9,5,[0.6033957],[0.],[0.6033957],[0.6033957]
10,10,5,[0.6033957],[0.],[0.6033957],[0.6033957]
11,11,5,[0.67453825],[0.09752508],[0.5975304],[0.82928723]
12,12,5,[0.5024442],[0.21469906],[0.34352562],[0.88411385]
13,13,5,[0.66653216],[0.12531301],[0.5715994],[0.8828403]
14,14,5,[0.86833745],[0.02218777],[0.84360063],[0.9015974]
15,15,5,[0.82801723],[0.01614481],[0.8175018],[0.8591846]
16,16,5,[0.8035976],[0.],[0.8035976],[0.8035976]
17,17,5,[0.5163616],[0.23452729],[0.32487082],[0.8035976]
18,18,5,[0.3989854],[0.17196274],[0.31300402],[0.74291086]
19,19,5,[0.45188564],[0.17542076],[0.31300402],[0.72803646]
20,20,5,[0.55944127],[0.2026613],[0.31300402],[0.76785624]
21,21,5,[0.46100444],[0.19250038],[0.30715963],[0.75410277]
22,22,5,[0.439339],[0.16188602],[0.30715963],[0.6376081]
23,23,5,[0.6088599],[0.01206336],[0.60282826],[0.63298666]
24,24,5,[0.77846116],[0.01146584],[0.76909935],[0.7925039]
25,25,5,[0.74150705],[0.06828992],[0.70064884],[0.8762692]
26,26,5,[0.7282597],[0.05522173],[0.70064884],[0.83870316]
27,27,5,[0.7196776],[0.03805768],[0.70064884],[0.79579306]
28,28,5,[0.7358463],[0.01197973],[0.7260649],[0.75051844]
29,29,5,[0.78351355],[0.02307584],[0.77197564],[0.82966524]
30,30,5,[0.61406213],[0.],[0.61406213],[0.61406213]
