,gen,nevals,avg,std,min,max
0,0,30,[0.9698072],[0.05652853],[0.8516999],[1.0547893]
1,1,5,[0.9462002],[0.00861015],[0.9418951],[0.9634205]
2,2,5,[0.8944699],[0.02371261],[0.8826136],[0.9418951]
3,3,5,[0.8888175],[0.],[0.8888175],[0.8888175]
4,4,5,[0.87319785],[0.0223758],[0.86200994],[0.91794944]
5,5,5,[0.8874561],[0.02121058],[0.8614785],[0.9047744]
6,6,5,[0.8822464],[0.02169931],[0.8646425],[0.91253]
7,7,5,[0.8646425],[0.],[0.8646425],[0.8646425]
8,8,5,[0.8646425],[0.],[0.8646425],[0.8646425]
9,9,5,[0.83357793],[0.04608649],[0.7959485],[0.89002216]
10,10,5,[0.9352654],[0.00336826],[0.93358123],[0.9420019]
11,11,5,[0.8404585],[0.07477883],[0.7517569],[0.93358123]
12,12,5,[0.8874609],[0.00972459],[0.88259864],[0.9069101]
13,13,5,[0.89856184],[0.00365496],[0.89673436],[0.90587175]
14,14,5,[0.9217941],[0.0166357],[0.9082112],[0.94216865]
15,15,5,[0.8891581],[5.9604645e-08],[0.8891582],[0.8891582]
16,16,5,[0.8740975],[0.03570389],[0.85624564],[0.9455054]
17,17,5,[0.8141602],[0.03436252],[0.7861034],[0.85624564]
18,18,5,[0.82450914],[0.01811284],[0.80580974],[0.8547671]
19,19,5,[0.8671013],[0.04233494],[0.81525177],[0.9016676]
20,20,5,[0.919117],[0.01095082],[0.91166234],[0.9398597]
21,21,5,[0.9004547],[0.00560381],[0.8976528],[0.91166234]
22,22,5,[0.90965736],[0.02400916],[0.8976528],[0.9576757]
23,23,5,[0.8118226],[0.02092868],[0.7861903],[0.82891077]
24,24,5,[0.8340069],[0.01705846],[0.8139963],[0.85629934]
25,25,5,[0.8046185],[0.00468893],[0.802274],[0.8139963]
