,gen,nevals,avg,std,min,max
0,0,50,[0.93134695],[0.05479366],[0.7863412],[0.98859566]
1,1,5,[0.91645545],[0.00768108],[0.91018385],[0.9258628]
2,2,5,[0.8781355],[0.03925102],[0.83006305],[0.91018385]
3,3,5,[0.83006305],[0.],[0.83006305],[0.83006305]
4,4,5,[0.83006305],[0.],[0.83006305],[0.83006305]
5,5,5,[0.78039616],[0.01638963],[0.7670141],[0.8004693]
6,6,5,[0.7249098],[0.],[0.7249098],[0.7249098]
7,7,5,[0.7249098],[0.],[0.7249098],[0.7249098]
8,8,5,[0.7249098],[0.],[0.7249098],[0.7249098]
9,9,5,[0.7249098],[0.],[0.7249098],[0.7249098]
10,10,5,[0.7249098],[0.],[0.7249098],[0.7249098]
11,11,5,[0.7249098],[0.],[0.7249098],[0.7249098]
12,12,5,[0.7249098],[0.],[0.7249098],[0.7249098]
13,13,5,[0.7249098],[0.],[0.7249098],[0.7249098]
14,14,5,[0.7249098],[0.],[0.7249098],[0.7249098]
15,15,5,[0.7249098],[0.],[0.7249098],[0.7249098]
16,16,5,[0.7249098],[0.],[0.7249098],[0.7249098]
17,17,5,[0.7249098],[0.],[0.7249098],[0.7249098]
18,18,5,[0.7249098],[0.],[0.7249098],[0.7249098]
19,19,5,[0.7249098],[0.],[0.7249098],[0.7249098]
20,20,5,[0.7249098],[0.],[0.7249098],[0.7249098]
21,21,5,[0.7249098],[0.],[0.7249098],[0.7249098]
22,22,5,[0.72069293],[0.00344305],[0.7178817],[0.7249098]
23,23,5,[0.71603626],[0.00369084],[0.7086546],[0.7178817]
24,24,5,[0.71419084],[0.00452034],[0.7086546],[0.7178817]
25,25,5,[0.7086546],[0.],[0.7086546],[0.7086546]
26,26,5,[0.7086546],[0.],[0.7086546],[0.7086546]
27,27,5,[0.7086546],[0.],[0.7086546],[0.7086546]
28,28,5,[0.7086546],[0.],[0.7086546],[0.7086546]
29,29,5,[0.7086546],[0.],[0.7086546],[0.7086546]
30,30,5,[0.69416827],[0.01774201],[0.67243886],[0.7086546]
