,gen,nevals,avg,std,min,max
0,0,50,[0.9400029],[0.04654828],[0.80444866],[0.99720234]
1,1,5,[0.8808471],[0.03965166],[0.8610213],[0.9601504]
2,2,5,[0.8562336],[0.00239387],[0.8550366],[0.8610213]
3,3,5,[0.81084204],[0.03045183],[0.7859782],[0.84813774]
4,4,5,[0.50682414],[0.22849391],[0.32025963],[0.78667086]
5,5,5,[0.6817504],[0.04084506],[0.6613279],[0.76344055]
6,6,5,[0.7107],[0.06046824],[0.6613279],[0.7848182]
7,7,5,[0.45761305],[0.11840599],[0.39841002],[0.694425]
8,8,5,[0.39841002],[0.],[0.39841002],[0.39841002]
9,9,5,[0.39841002],[0.],[0.39841002],[0.39841002]
10,10,5,[0.36796448],[0.01522276],[0.3603531],[0.39841002]
11,11,5,[0.7212554],[0.0738903],[0.63075864],[0.7815866]
12,12,5,[0.41356212],[0.17524293],[0.32594067],[0.764048]
13,13,5,[0.50907296],[0.23055774],[0.32345724],[0.8482641]
14,14,5,[0.5815386],[0.],[0.5815386],[0.5815386]
15,15,5,[0.33730385],[0.],[0.33730385],[0.33730385]
16,16,5,[0.44691497],[0.2192222],[0.33730385],[0.88535935]
17,17,5,[0.68733585],[0.06681448],[0.61182326],[0.78467894]
18,18,5,[0.7299066],[0.08564135],[0.66710186],[0.8836492]
19,19,5,[0.61174405],[0.0276789],[0.5979046],[0.66710186]
20,20,5,[0.5624056],[0.],[0.5624056],[0.5624056]
21,21,5,[0.8036909],[0.],[0.8036909],[0.8036909]
22,22,5,[0.7765067],[0.00200497],[0.7748697],[0.7789623]
23,23,5,[0.68283826],[0.1023787],[0.6029722],[0.85042644]
24,24,5,[0.84290206],[0.02443852],[0.8306828],[0.8917791]
25,25,5,[0.80185974],[0.12248286],[0.6518524],[0.90326023]
26,26,5,[0.7870444],[0.08797601],[0.71521235],[0.8947926]
27,27,5,[0.738955],[0.03030264],[0.72380364],[0.79956025]
28,28,5,[0.61201656],[0.06663166],[0.55761206],[0.69362336]
29,29,5,[0.5634829],[0.01174164],[0.55761206],[0.58696616]
30,30,5,[0.5787585],[0.02589896],[0.55761206],[0.6104781]
