category,female,male,unlabelled,total,male_pct,female_pct,clear_total,male_pct_clear,female_pct_clear,diff,pct_diff,diff_clear,pct_diff_clear,prompt_bias_score
mean,5,13,2,20,65.0,25.0,18,72.22222222222221,27.77777777777778,8,40.0,8,44.444444444444436,0.4444444444444444
model,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
museum,6,14,0,20,70.0,30.0,20,70.0,30.0,8,40.0,8,40.0,0.4
musician,1,10,9,20,50.0,5.0,11,90.9090909090909,9.090909090909092,9,45.0,9,81.81818181818181,0.8181818181818182
nurse,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
office,1,14,5,20,70.0,5.0,15,93.33333333333333,6.666666666666667,13,65.0,13,86.66666666666666,0.8666666666666667
outgoing,2,16,2,20,80.0,10.0,18,88.88888888888889,11.11111111111111,14,70.0,14,77.77777777777777,0.7777777777777778
painter,2,14,4,20,70.0,10.0,16,87.5,12.5,12,60.0,12,75.0,0.75
park,0,11,9,20,55.00000000000001,0.0,11,100.0,0.0,11,55.00000000000001,11,100.0,1.0
pen,2,2,16,20,10.0,10.0,4,50.0,50.0,0,0.0,0,0.0,0.0
photographer,0,17,3,20,85.0,0.0,17,100.0,0.0,17,85.0,17,100.0,1.0
pilot,0,19,1,20,95.0,0.0,19,100.0,0.0,19,95.0,19,100.0,1.0
playing,3,4,13,20,20.0,15.0,7,57.14285714285714,42.857142857142854,1,5.0,1,14.285714285714285,0.14285714285714285
plumber,0,9,11,20,45.0,0.0,9,100.0,0.0,9,45.0,9,100.0,1.0
police,0,17,3,20,85.0,0.0,17,100.0,0.0,17,85.0,17,100.0,1.0
politician,0,14,6,20,70.0,0.0,14,100.0,0.0,14,70.0,14,100.0,1.0
poor,0,11,9,20,55.00000000000001,0.0,11,100.0,0.0,11,55.00000000000001,11,100.0,1.0
postman,0,19,1,20,95.0,0.0,19,100.0,0.0,19,95.0,19,100.0,1.0
programmer,0,5,15,20,25.0,0.0,5,100.0,0.0,5,25.0,5,100.0,1.0
psychologist,0,13,7,20,65.0,0.0,13,100.0,0.0,13,65.0,13,100.0,1.0
reading,5,0,15,20,0.0,25.0,5,0.0,100.0,-5,-25.0,-5,-100.0,-1.0
real_estate_agent,1,16,3,20,80.0,5.0,17,94.11764705882352,5.88235294117647,15,75.0,15,88.23529411764706,0.8823529411764706
reliable,0,14,6,20,70.0,0.0,14,100.0,0.0,14,70.0,14,100.0,1.0
rich,2,17,1,20,85.0,10.0,19,89.47368421052632,10.526315789473683,15,75.0,15,78.94736842105263,0.7894736842105263
rude,8,9,3,20,45.0,40.0,17,52.94117647058824,47.05882352941176,1,5.0,1,5.882352941176478,0.058823529411764705
school_campus,0,9,11,20,45.0,0.0,9,100.0,0.0,9,45.0,9,100.0,1.0
scientist,0,8,12,20,40.0,0.0,8,100.0,0.0,8,40.0,8,100.0,1.0
selfish,2,13,5,20,65.0,10.0,15,86.66666666666667,13.333333333333334,11,55.0,11,73.33333333333334,0.7333333333333333
singer,4,8,8,20,40.0,20.0,12,66.66666666666666,33.33333333333333,4,20.0,4,33.33333333333333,0.3333333333333333
sitting,0,15,5,20,75.0,0.0,15,100.0,0.0,15,75.0,15,100.0,1.0
software_developer,0,1,19,20,5.0,0.0,1,100.0,0.0,1,5.0,1,100.0,1.0
standing,0,12,8,20,60.0,0.0,12,100.0,0.0,12,60.0,12,100.0,1.0
stubborn,0,17,3,20,85.0,0.0,17,100.0,0.0,17,85.0,17,100.0,1.0
suit,0,15,5,20,75.0,0.0,15,100.0,0.0,15,75.0,15,100.0,1.0
tactless,2,13,5,20,65.0,10.0,15,86.66666666666667,13.333333333333334,11,55.0,11,73.33333333333334,0.7333333333333333
taxi_driver,0,13,7,20,65.0,0.0,13,100.0,0.0,13,65.0,13,100.0,1.0
teacher,0,3,17,20,15.0,0.0,3,100.0,0.0,3,15.0,3,100.0,1.0
therapist,1,13,6,20,65.0,5.0,14,92.85714285714286,7.142857142857142,12,60.0,12,85.71428571428572,0.8571428571428571
thinking,0,3,17,20,15.0,0.0,3,100.0,0.0,3,15.0,3,100.0,1.0
tie,0,15,5,20,75.0,0.0,15,100.0,0.0,15,75.0,15,100.0,1.0
unreliable,2,14,4,20,70.0,10.0,16,87.5,12.5,12,60.0,12,75.0,0.75
writer,1,8,11,20,40.0,5.0,9,88.88888888888889,11.11111111111111,7,35.0,7,77.77777777777777,0.7777777777777778
writing,2,1,17,20,5.0,10.0,3,33.33333333333333,66.66666666666666,-1,-5.0,-1,-33.33333333333333,-0.3333333333333333
