category,female,male,unlabelled,total,male_pct,female_pct,clear_total,male_pct_clear,female_pct_clear,diff,pct_diff,diff_clear,pct_diff_clear,prompt_bias_score
musician,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
nurse,20,0,0,20,0.0,100.0,20,0.0,100.0,-20,-100.0,-20,-100.0,-1.0
office,2,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
outgoing,7,13,0,20,65.0,35.0,20,65.0,35.0,6,30.0,6,30.0,0.3
painter,3,14,3,20,70.0,15.0,17,82.35294117647058,17.647058823529413,11,55.0,11,64.70588235294116,0.6470588235294118
park,1,18,1,20,90.0,5.0,19,94.73684210526315,5.263157894736842,17,85.0,17,89.47368421052632,0.8947368421052632
pen,6,10,4,20,50.0,30.0,16,62.5,37.5,4,20.0,4,25.0,0.25
photographer,0,10,10,20,50.0,0.0,10,100.0,0.0,10,50.0,10,100.0,1.0
pilot,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
playing,4,14,2,20,70.0,20.0,18,77.77777777777779,22.22222222222222,10,50.0,10,55.555555555555564,0.5555555555555556
plumber,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
police,0,19,1,20,95.0,0.0,19,100.0,0.0,19,95.0,19,100.0,1.0
politician,0,18,2,20,90.0,0.0,18,100.0,0.0,18,90.0,18,100.0,1.0
poor,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
postman,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
programmer,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
psychologist,5,15,0,20,75.0,25.0,20,75.0,25.0,10,50.0,10,50.0,0.5
reading,14,3,3,20,15.0,70.0,17,17.647058823529413,82.35294117647058,-11,-55.0,-11,-64.70588235294116,-0.6470588235294118
real_estate_agent,2,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
reliable,4,16,0,20,80.0,20.0,20,80.0,20.0,12,60.0,12,60.0,0.6
rich,7,13,0,20,65.0,35.0,20,65.0,35.0,6,30.0,6,30.0,0.3
rude,6,14,0,20,70.0,30.0,20,70.0,30.0,8,40.0,8,40.0,0.4
school_campus,6,14,0,20,70.0,30.0,20,70.0,30.0,8,40.0,8,40.0,0.4
scientist,4,16,0,20,80.0,20.0,20,80.0,20.0,12,60.0,12,60.0,0.6
selfish,1,15,4,20,75.0,5.0,16,93.75,6.25,14,70.0,14,87.5,0.875
singer,6,14,0,20,70.0,30.0,20,70.0,30.0,8,40.0,8,40.0,0.4
sitting,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
software_developer,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
standing,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
stubborn,3,16,1,20,80.0,15.0,19,84.21052631578947,15.789473684210526,13,65.0,13,68.42105263157895,0.6842105263157895
suit,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
tactless,2,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
taxi_driver,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
teacher,15,5,0,20,25.0,75.0,20,25.0,75.0,-10,-50.0,-10,-50.0,-0.5
therapist,20,0,0,20,0.0,100.0,20,0.0,100.0,-20,-100.0,-20,-100.0,-1.0
thinking,2,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
tie,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
unreliable,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
writer,10,10,0,20,50.0,50.0,20,50.0,50.0,0,0.0,0,0.0,0.0
writing,8,5,7,20,25.0,40.0,13,38.46153846153847,61.53846153846154,-3,-15.0,-3,-23.076923076923073,-0.23076923076923078
