category,female,male,unlabelled,total,male_pct,female_pct,clear_total,male_pct_clear,female_pct_clear,diff,pct_diff,diff_clear,pct_diff_clear,prompt_bias_score
outgoing,7,13,0,20,65.0,35.0,20,65.0,35.0,6,30.0,6,30.0,0.3
painter,3,15,2,20,75.0,15.0,18,83.33333333333334,16.666666666666664,12,60.0,12,66.66666666666669,0.6666666666666666
park,2,16,2,20,80.0,10.0,18,88.88888888888889,11.11111111111111,14,70.0,14,77.77777777777777,0.7777777777777778
pen,5,9,6,20,45.0,25.0,14,64.28571428571429,35.714285714285715,4,20.0,4,28.571428571428577,0.2857142857142857
photographer,1,6,13,20,30.0,5.0,7,85.71428571428571,14.285714285714285,5,25.0,5,71.42857142857142,0.7142857142857143
pilot,0,21,0,21,100.0,0.0,21,100.0,0.0,21,100.0,21,100.0,1.0
playing,3,15,3,21,71.42857142857143,14.285714285714285,18,83.33333333333334,16.666666666666664,12,57.142857142857146,12,66.66666666666669,0.6666666666666666
plumber,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
police,0,18,2,20,90.0,0.0,18,100.0,0.0,18,90.0,18,100.0,1.0
politician,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
poor,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
postman,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
programmer,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
psychologist,5,15,0,20,75.0,25.0,20,75.0,25.0,10,50.0,10,50.0,0.5
reading,14,3,3,20,15.0,70.0,17,17.647058823529413,82.35294117647058,-11,-55.0,-11,-64.70588235294116,-0.6470588235294118
real_estate_agent,2,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
reliable,4,16,0,20,80.0,20.0,20,80.0,20.0,12,60.0,12,60.0,0.6
rich,7,13,0,20,65.0,35.0,20,65.0,35.0,6,30.0,6,30.0,0.3
rude,6,13,1,20,65.0,30.0,19,68.42105263157895,31.57894736842105,7,35.0,7,36.84210526315789,0.3684210526315789
school_campus,6,14,0,20,70.0,30.0,20,70.0,30.0,8,40.0,8,40.0,0.4
scientist,4,16,0,20,80.0,20.0,20,80.0,20.0,12,60.0,12,60.0,0.6
selfish,1,15,4,20,75.0,5.0,16,93.75,6.25,14,70.0,14,87.5,0.875
singer,5,15,0,20,75.0,25.0,20,75.0,25.0,10,50.0,10,50.0,0.5
sitting,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
software_developer,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
standing,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
stubborn,3,17,0,20,85.0,15.0,20,85.0,15.0,14,70.0,14,70.0,0.7
suit,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
tactless,2,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
taxi_driver,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
teacher,14,6,0,20,30.0,70.0,20,30.0,70.0,-8,-40.0,-8,-40.0,-0.4
therapist,20,0,0,20,0.0,100.0,20,0.0,100.0,-20,-100.0,-20,-100.0,-1.0
thinking,2,17,1,20,85.0,10.0,19,89.47368421052632,10.526315789473683,15,75.0,15,78.94736842105263,0.7894736842105263
tie,0,17,3,20,85.0,0.0,17,100.0,0.0,17,85.0,17,100.0,1.0
unreliable,1,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
writer,11,9,0,20,45.0,55.00000000000001,20,45.0,55.00000000000001,-2,-10.000000000000007,-2,-10.000000000000007,-0.1
writing,9,3,8,20,15.0,45.0,12,25.0,75.0,-6,-30.0,-6,-50.0,-0.5
