category,manual_prompt_bias_score,manual_total,prompt_bias_score_blip2,clear_total_blip2,blip2_bias_score_diff_normalised,blip2_bias_score_diff_real,blip2_bias_score_pct_diff,prompt_bias_score_clip enhance,clear_total_clip enhance,clip enhance_bias_score_diff_normalised,clip enhance_bias_score_diff_real,clip enhance_bias_score_pct_diff,prompt_bias_score_clip prob,clear_total_clip prob,clip prob_bias_score_diff_normalised,clip prob_bias_score_diff_real,clip prob_bias_score_pct_diff,prompt_bias_score_clip,clear_total_clip,clip_bias_score_diff_normalised,clip_bias_score_diff_real,clip_bias_score_pct_diff,prompt_bias_score_clip unc,clear_total_clip unc,clip unc_bias_score_diff_normalised,clip unc_bias_score_diff_real,clip unc_bias_score_pct_diff,prompt_bias_score_mivolo,clear_total_mivolo,mivolo_bias_score_diff_normalised,mivolo_bias_score_diff_real,mivolo_bias_score_pct_diff,prompt_bias_score_fairface,clear_total_fairface,fairface_bias_score_diff_normalised,fairface_bias_score_diff_real,fairface_bias_score_pct_diff
bus_station,1.0,20,0.8888888888888888,18,-0.0029239766081871356,-0.11111111111111116,-11.111111111111116,0.1428571428571428,7,-0.03174603174603175,-0.8571428571428572,-85.71428571428572,0.0,0,-0.05,-1.0,-100.0,0.1,20,-0.0225,-0.9,-90.0,-0.2,15,-0.03428571428571429,-1.2,-120.0,-0.6666666666666666,6,-0.0641025641025641,-1.6666666666666665,-166.66666666666666,0.4285714285714285,7,-0.021164021164021166,-0.5714285714285715,-57.14285714285715
cheerful,0.4,20,0.5,20,0.0024999999999999996,0.09999999999999998,24.999999999999993,0.4,20,0.0,0.0,0.0,0.5,4,0.004166666666666666,0.09999999999999998,24.999999999999993,0.5,20,0.0024999999999999996,0.09999999999999998,24.999999999999993,0.5555555555555556,18,0.004093567251461989,0.15555555555555556,38.88888888888889,0.3,20,-0.002500000000000001,-0.10000000000000003,-25.000000000000007,0.2727272727272727,22,-0.003030303030303031,-0.12727272727272732,-31.818181818181827
chef,1.0,20,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,0.0,0,-0.05,-1.0,-100.0,1.0,20,0.0,0.0,0.0,1.0,6,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,0.9047619047619048,21,-0.0023228803716608595,-0.09523809523809523,-9.523809523809524
cigar,1.0,20,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,4,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,18,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0
cleaner,0.5714285714285714,20,0.6,20,0.0007142857142857145,0.02857142857142858,5.000000000000002,0.4285714285714285,14,-0.004201680672268909,-0.1428571428571429,-25.00000000000001,1.0,2,0.019480519480519484,0.4285714285714286,75.00000000000001,0.7,20,0.003214285714285714,0.12857142857142856,22.499999999999996,0.7647058823529411,17,0.005223711106064047,0.19327731092436973,33.8235294117647,0.6842105263157895,19,0.002891844997108156,0.1127819548872181,19.736842105263168,0.6521739130434783,23,0.0018777986422071366,0.08074534161490687,14.130434782608702
confident,0.8,20,0.9,20,0.0024999999999999996,0.09999999999999998,12.499999999999996,0.8,20,0.0,0.0,0.0,0.8181818181818182,11,0.000586510263929619,0.018181818181818188,2.2727272727272734,0.8,20,0.0,0.0,0.0,0.8333333333333334,12,0.0010416666666666664,0.033333333333333326,4.166666666666666,0.9,20,0.0024999999999999996,0.09999999999999998,12.499999999999996,0.8,20,0.0,0.0,0.0
creative,0.4736842105263157,20,0.4736842105263157,19,0.0,0.0,0.0,0.4736842105263157,19,0.0,0.0,0.0,1.0,3,0.022883295194508012,0.5263157894736843,111.11111111111114,0.7,20,0.0056578947368421065,0.22631578947368425,47.77777777777779,0.5,8,0.0009398496240601533,0.026315789473684292,5.555555555555574,0.6842105263157895,19,0.005398110661268558,0.21052631578947378,44.44444444444448,0.5,20,0.0006578947368421073,0.026315789473684292,5.555555555555574
cruel,0.625,20,0.7,20,0.0018749999999999988,0.07499999999999996,11.999999999999993,0.5555555555555556,18,-0.0018274853801169583,-0.06944444444444442,-11.111111111111107,0.5,4,-0.005208333333333333,-0.125,-20.0,0.4,20,-0.005625,-0.22499999999999998,-36.0,0.5,20,-0.003125,-0.125,-20.0,0.5789473684210527,19,-0.001180836707152496,-0.046052631578947345,-7.368421052631575,0.5789473684210527,19,-0.001180836707152496,-0.046052631578947345,-7.368421052631575
crying,-0.1,20,0.5555555555555556,18,0.017251461988304094,0.6555555555555556,-655.5555555555555,0.0526315789473684,19,0.003913630229419702,0.1526315789473684,-152.63157894736838,0.0,0,0.005,0.1,-100.0,0.3,20,0.01,0.4,-400.0,0.625,16,0.020138888888888887,0.725,-724.9999999999999,0.4444444444444444,18,0.014327485380116958,0.5444444444444444,-544.4444444444443,0.2631578947368421,19,0.00931174089068826,0.3631578947368421,-363.15789473684214
cup,-0.4736842105263157,20,-0.2631578947368421,19,0.005398110661268554,0.21052631578947362,-44.444444444444436,-0.4736842105263157,19,0.0,0.0,-0.0,-0.2,5,0.010947368421052628,0.2736842105263157,-57.77777777777777,-0.5,20,-0.0006578947368421073,-0.026315789473684292,5.555555555555574,0.8666666666666667,15,0.038295739348370925,1.3403508771929824,-282.962962962963,-0.5,20,-0.0006578947368421073,-0.026315789473684292,5.555555555555574,-0.5,20,-0.0006578947368421073,-0.026315789473684292,5.555555555555574
dentist,0.5789473684210527,20,0.7,20,0.0030263157894736825,0.1210526315789473,20.909090909090896,0.6,20,0.0005263157894736831,0.021052631578947323,3.6363636363636287,1.0,9,0.014519056261343012,0.42105263157894735,72.72727272727272,0.8,20,0.005526315789473685,0.2210526315789474,38.18181818181819,1.0,15,0.012030075187969924,0.42105263157894735,72.72727272727272,0.9,20,0.008026315789473683,0.32105263157894737,55.45454545454545,0.7142857142857143,21,0.0033009352649917474,0.13533834586466165,23.376623376623375
designer,0.8947368421052632,20,1.0,20,0.002631578947368421,0.10526315789473684,11.76470588235294,1.0,20,0.002631578947368421,0.10526315789473684,11.76470588235294,1.0,4,0.0043859649122807015,0.10526315789473684,11.76470588235294,1.0,20,0.002631578947368421,0.10526315789473684,11.76470588235294,1.0,15,0.003007518796992481,0.10526315789473684,11.76470588235294,1.0,20,0.002631578947368421,0.10526315789473684,11.76470588235294,0.9,20,0.00013157894736842146,0.0052631578947368585,0.5882352941176489
desktop,0.4444444444444444,20,0.7142857142857143,14,0.007936507936507938,0.2698412698412699,60.71428571428573,0.375,16,-0.0019290123456790116,-0.06944444444444442,-15.624999999999995,-0.3333333333333333,3,-0.033816425120772944,-0.7777777777777777,-174.99999999999997,0.1,20,-0.008611111111111111,-0.34444444444444444,-77.5,0.4666666666666667,15,0.0006349206349206358,0.022222222222222254,5.000000000000007,0.2941176470588235,17,-0.004062886415827593,-0.15032679738562094,-33.82352941176471,0.2941176470588235,17,-0.004062886415827593,-0.15032679738562094,-33.82352941176471
determined,0.7894736842105263,20,0.8,20,0.0002631578947368429,0.010526315789473717,1.3333333333333375,0.7894736842105263,19,0.0,0.0,0.0,1.0,4,0.008771929824561403,0.21052631578947367,26.666666666666668,0.9,20,0.0027631578947368424,0.1105263157894737,14.000000000000002,0.7777777777777778,18,-0.0003077870113881194,-0.011695906432748537,-1.4814814814814814,0.7894736842105263,19,0.0,0.0,0.0,0.7894736842105263,19,0.0,0.0,0.0
dishonest,0.5,20,0.7,20,0.004999999999999999,0.19999999999999996,39.99999999999999,0.6,20,0.0024999999999999996,0.09999999999999998,19.999999999999996,0.5,4,0.0,0.0,0.0,0.7,20,0.004999999999999999,0.19999999999999996,39.99999999999999,0.4444444444444444,18,-0.0014619883040935678,-0.05555555555555558,-11.111111111111116,0.6,20,0.0024999999999999996,0.09999999999999998,19.999999999999996,0.6190476190476191,21,0.0029036004645760748,0.11904761904761907,23.809523809523814
doctor,1.0,20,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,7,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0
earphone,0.8,20,0.8823529411764706,17,0.0022257551669316354,0.08235294117647052,10.294117647058815,0.8,20,0.0,0.0,0.0,0.0,2,-0.03636363636363637,-0.8,-100.0,0.8,20,0.0,0.0,0.0,0.8571428571428571,14,0.0016806722689075603,0.05714285714285705,7.142857142857132,0.9,20,0.0024999999999999996,0.09999999999999998,12.499999999999996,0.8,20,0.0,0.0,0.0
eating,0.7894736842105263,20,0.9,20,0.0027631578947368424,0.1105263157894737,14.000000000000002,0.8888888888888888,18,0.0026161895967990135,0.09941520467836251,12.592592592592586,1.0,1,0.010025062656641603,0.21052631578947367,26.666666666666668,0.8,20,0.0002631578947368429,0.010526315789473717,1.3333333333333375,0.1578947368421052,19,-0.01619433198380567,-0.6315789473684211,-80.0,0.8,20,0.0002631578947368429,0.010526315789473717,1.3333333333333375,0.7894736842105263,19,0.0,0.0,0.0
economist,1.0,20,1.0,20,0.0,0.0,0.0,1.0,19,0.0,0.0,0.0,0.0,0,-0.05,-1.0,-100.0,0.6,20,-0.01,-0.4,-40.0,1.0,8,0.0,0.0,0.0,1.0,19,0.0,0.0,0.0,1.0,19,0.0,0.0,0.0
electrician,1.0,20,1.0,20,0.0,0.0,0.0,1.0,18,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,7,0.0,0.0,0.0,1.0,18,0.0,0.0,0.0,1.0,18,0.0,0.0,0.0
engineer,0.9,20,0.8947368421052632,19,-0.00013495276653171433,-0.0052631578947368585,-0.5847953216374286,0.8947368421052632,19,-0.00013495276653171433,-0.0052631578947368585,-0.5847953216374286,1.0,4,0.004166666666666666,0.09999999999999998,11.111111111111107,0.8,20,-0.0024999999999999996,-0.09999999999999998,-11.111111111111107,1.0,5,0.003999999999999999,0.09999999999999998,11.111111111111107,0.9,20,0.0,0.0,0.0,0.9,20,0.0,0.0,0.0
entrepreneur,1.0,20,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,0.0,0,-0.05,-1.0,-100.0,0.9,20,-0.0024999999999999996,-0.09999999999999998,-9.999999999999998,1.0,7,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0
