category,manual_low_quality,blip2_low_quality_pct_variation,clip enhance_low_quality_pct_variation,clip prob_low_quality_pct_variation,clip_low_quality_pct_variation,clip unc_low_quality_pct_variation,mivolo_low_quality_pct_variation,fairface_low_quality_pct_variation
school_campus,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
scientist,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
selfish,5,-100.0,-20.0,180.0,-100.0,0.0,-20.0,-20.0
singer,2,-100.0,-100.0,450.0,-100.0,300.0,-100.0,-100.0
sitting,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
software_developer,1,0.0,-100.0,1800.0,-100.0,1800.0,-100.0,-100.0
standing,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
stubborn,2,-100.0,-100.0,700.0,-100.0,50.0,-50.0,-100.0
suit,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tactless,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
taxi_driver,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
teacher,2,-100.0,-50.0,650.0,-100.0,750.0,-100.0,-100.0
therapist,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
thinking,1,-100.0,100.0,1600.0,-100.0,1600.0,-100.0,0.0
tie,3,-100.0,0.0,500.0,-100.0,66.66666666666666,-100.0,0.0
unreliable,1,-100.0,-100.0,1400.0,-100.0,300.0,-100.0,-100.0
writer,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
writing,9,-100.0,-11.11111111111111,111.11111111111111,-100.0,88.88888888888889,-22.22222222222222,-11.11111111111111
