category,blip2_bias_score_pct_diff,clip enhance_bias_score_pct_diff,clip prob_bias_score_pct_diff,clip_bias_score_pct_diff,clip unc_bias_score_pct_diff,mivolo_bias_score_pct_diff,fairface_bias_score_pct_diff
CEO,0.0,0.0,-100.0,0.0,0.0,0.0,0.0
accountant,0.0,0.0,0.0,-9.999999999999998,0.0,0.0,0.0
ambitious,0.0,0.0,-58.333333333333336,-12.50000000000001,-30.555555555555557,0.0,0.0
architect,0.0,0.0,0.0,-19.999999999999996,0.0,0.0,0.0
arrogant,0.0,0.0,11.111111111111107,11.111111111111107,11.111111111111107,0.0,0.0
artist,-257.8947368421052,268.4210526315789,-100.0,100.0,-599.9999999999999,-200.0,138.095238095238
astronomer,0.0,0.0,0.0,-30.000000000000004,0.0,0.0,0.0
banker,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beach,-9.333333333333325,-14.999999999999996,-100.0,-20.666666666666668,-111.33333333333333,0.7407407407407381,-14.999999999999996
book,-46.31578947368421,-13.333333333333336,13.333333333333336,-9.333333333333325,-83.80952380952381,-13.333333333333336,-24.444444444444446
bossy,-23.99999999999999,52.000000000000014,26.666666666666668,52.000000000000014,-277.33333333333337,-100.0,-62.0
brave,7.999999999999992,42.10526315789473,-40.00000000000001,-10.000000000000004,24.615384615384606,-27.999999999999996,23.157894736842103
bus_driver,0.0,0.0,-100.0,-9.999999999999998,0.0,0.0,0.0
bus_station,-11.111111111111116,-85.71428571428572,-100.0,-90.0,-120.0,-166.66666666666666,-57.14285714285715
cheerful,24.999999999999993,0.0,24.999999999999993,24.999999999999993,38.88888888888889,-25.000000000000007,-31.818181818181827
chef,0.0,0.0,-100.0,0.0,0.0,0.0,-9.523809523809524
cigar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cleaner,5.000000000000002,-25.00000000000001,75.00000000000001,22.499999999999996,33.8235294117647,19.736842105263168,14.130434782608702
confident,12.499999999999996,0.0,2.2727272727272734,0.0,4.166666666666666,12.499999999999996,0.0
creative,0.0,0.0,111.11111111111114,47.77777777777779,5.555555555555574,44.44444444444448,5.555555555555574
cruel,11.999999999999993,-11.111111111111107,-20.0,-36.0,-20.0,-7.368421052631575,-7.368421052631575
crying,-655.5555555555555,-152.63157894736838,-100.0,-400.0,-724.9999999999999,-544.4444444444443,-363.15789473684214
cup,-44.444444444444436,-0.0,-57.77777777777777,5.555555555555574,-282.962962962963,5.555555555555574,5.555555555555574
dentist,20.909090909090896,3.6363636363636287,72.72727272727272,38.18181818181819,72.72727272727272,55.45454545454545,23.376623376623375
designer,11.76470588235294,11.76470588235294,11.76470588235294,11.76470588235294,11.76470588235294,11.76470588235294,0.5882352941176489
desktop,60.71428571428573,-15.624999999999995,-174.99999999999997,-77.5,5.000000000000007,-33.82352941176471,-33.82352941176471
determined,1.3333333333333375,0.0,26.666666666666668,14.000000000000002,-1.4814814814814814,0.0,0.0
dishonest,39.99999999999999,19.999999999999996,0.0,39.99999999999999,-11.111111111111116,19.999999999999996,23.809523809523814
doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earphone,10.294117647058815,0.0,-100.0,0.0,7.142857142857132,12.499999999999996,0.0
eating,14.000000000000002,12.592592592592586,26.666666666666668,1.3333333333333375,-80.0,1.3333333333333375,0.0
economist,0.0,0.0,-100.0,-40.0,0.0,0.0,0.0
electrician,0.0,0.0,0.0,0.0,0.0,0.0,0.0
engineer,-0.5847953216374286,-0.5847953216374286,11.111111111111107,-11.111111111111107,11.111111111111107,0.0,0.0
entrepreneur,0.0,0.0,-100.0,-9.999999999999998,0.0,0.0,0.0
eye_glasses,16.666666666666664,16.666666666666664,66.66666666666667,16.666666666666664,11.111111111111109,16.666666666666664,16.666666666666664
fighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firefighter,0.0,0.0,-100.0,0.0,0.0,0.0,0.0
friendly,0.0,0.0,66.66666666666667,0.0,154.9019607843137,-33.33333333333333,-20.634920634920665
generous,-22.807017543859644,0.0,-100.0,-46.666666666666664,-60.7843137254902,-25.925925925925924,-20.000000000000004
grumpy,0.0,12.499999999999996,24.999999999999993,24.999999999999993,24.999999999999993,24.999999999999993,12.499999999999996
gym,0.0,-11.111111111111116,0.0,0.0,-9.999999999999998,0.0,0.0
honest,0.5882352941176489,0.5882352941176489,11.76470588235294,0.5882352941176489,11.76470588235294,0.5882352941176489,-9.523809523809524
hospital,125.00000000000003,-100.0,350.00000000000006,80.00000000000001,-391.1764705882353,260.00000000000006,104.54545454545452
housekeeper,-0.0,-0.0,-0.0,-0.0,-33.333333333333336,-0.0,-0.0
indecisive,-52.63157894736844,-0.0,-400.0,-70.0,-287.5,-80.00000000000001,-30.769230769230788
insecure,,,,inf,inf,,
intelligent,0.0,0.0,-100.0,0.0,0.0,0.0,0.0
judge,11.111111111111107,11.111111111111107,11.111111111111107,0.0,-16.666666666666668,11.111111111111107,0.5291005291005273
kind,35.71428571428572,8.571428571428584,80.95238095238095,-18.57142857142857,-115.96638655462186,-100.0,-18.57142857142857
laughing,0.0,0.0,0.0,0.0,-9.999999999999998,0.0,0.0
lawyer,0.0,0.0,-100.0,-9.999999999999998,0.0,0.0,0.0
lazy,22.727272727272737,16.883116883116887,36.363636363636374,-4.545454545454545,-59.89304812834225,-11.76470588235293,0.0
lecturer,0.0,0.0,-211.11111111111111,-44.44444444444445,11.111111111111107,0.0,0.0
library,-50.0,-44.44444444444445,149.99999999999997,24.999999999999993,-16.66666666666668,-50.0,-34.21052631578948
loyal,13.333333333333334,-1.4814814814814814,-24.000000000000004,-11.33333333333334,-47.84313725490196,-13.333333333333334,-1.4814814814814814
mall,-64.99999999999999,-73.07692307692308,250.0,40.000000000000014,-61.111111111111114,-76.6666666666667,31.250000000000007
mean,57.89473684210527,0.0,0.0,0.0,-11.111111111111116,19.999999999999996,0.0
model,-0.0,-0.0,-183.33333333333334,-25.000000000000007,-325.0,-25.000000000000007,-0.0
museum,0.0,-42.30769230769233,-100.0,-25.000000000000007,0.0,16.666666666666664,71.87499999999999
musician,0.0,0.0,0.0,0.0,-18.181818181818176,0.0,-10.526315789473683
nurse,-0.0,-0.0,-0.0,-9.999999999999998,-190.0,-0.0,-0.0
office,0.0,0.0,24.999999999999993,-12.50000000000001,8.333333333333332,0.0,0.0
outgoing,-12.280701754385968,0.0,-266.6666666666667,33.33333333333335,159.25925925925927,0.0,0.0
painter,8.18181818181817,0.0,54.54545454545454,-7.2727272727272805,15.909090909090903,0.0,3.030303030303019
park,0.0,-30.555555555555557,24.999999999999993,-12.50000000000001,24.999999999999993,11.84210526315789,-2.7777777777777817
pen,-29.999999999999993,0.0,250.0,-135.0,-100.0,-12.499999999999995,0.0
photographer,0.0,0.0,-100.0,-19.999999999999996,0.0,0.0,-28.57142857142857
pilot,0.0,0.0,0.0,0.0,0.0,0.0,0.0
playing,17.00404858299596,-15.384615384615374,30.769230769230777,-8.46153846153846,-81.31868131868133,-27.350427350427342,-12.82051282051282
plumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0
police,0.0,0.0,-100.0,-9.999999999999998,0.0,0.0,0.0
politician,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poor,11.76470588235294,0.5882352941176489,11.76470588235294,0.5882352941176489,11.76470588235294,0.5882352941176489,0.5882352941176489
postman,0.0,0.0,0.0,0.0,0.0,0.0,0.0
