,gen,nevals,avg,std,min,max
0,0,50,[0.9300464],[0.05081582],[0.7811785],[0.99636006]
1,1,5,[0.88263637],[0.02616243],[0.8303114],[0.8957175]
2,2,5,[0.79620045],[0.06065191],[0.74680233],[0.8770776]
3,3,5,[0.6560384],[0.10480602],[0.6036354],[0.8656504]
4,4,5,[0.5713726],[0.23394147],[0.284854],[0.762385]
5,5,5,[0.7491017],[0.04420644],[0.723625],[0.8368298]
6,6,5,[0.81232625],[0.00729841],[0.8063671],[0.8212649]
7,7,5,[0.7813684],[0.04929214],[0.6866524],[0.82033366]
8,8,5,[0.7771311],[0.],[0.7771311],[0.7771311]
9,9,5,[0.7158168],[0.],[0.7158168],[0.7158168]
10,10,5,[0.7374707],[0.04666325],[0.6803201],[0.77557105]
11,11,5,[0.73636067],[0.02990564],[0.71194285],[0.7729875]
12,12,5,[0.7376782],[0.03885153],[0.690095],[0.76940036]
13,13,5,[0.836846],[0.03341632],[0.8201378],[0.9036786]
14,14,5,[0.8011238],[0.04168573],[0.75006944],[0.8351601]
15,15,5,[0.6833769],[0.12318265],[0.58279866],[0.8342442]
16,16,5,[0.68385184],[0.29182997],[0.33205894],[0.9654551]
17,17,5,[0.8053732],[0.03982273],[0.7728581],[0.8541459]
18,18,5,[0.8080317],[0.06753939],[0.7707949],[0.94265395]
19,19,5,[0.7660678],[0.01408067],[0.7590274],[0.7942291]
20,20,5,[0.6423602],[0.],[0.6423602],[0.6423602]
21,21,5,[0.68958086],[0.02487507],[0.67714334],[0.739331]
22,22,5,[0.41736928],[0.15065223],[0.34204316],[0.71867377]
23,23,5,[0.7343853],[0.01583843],[0.72646606],[0.76606214]
24,24,5,[0.82704556],[0.03641562],[0.7973124],[0.87164545]
25,25,5,[0.76876104],[0.04830754],[0.70959663],[0.808204]
26,26,5,[0.60779274],[0.07332492],[0.5711302],[0.7544425]
27,27,5,[0.7928814],[0.03815318],[0.7617295],[0.8396093]
28,28,5,[0.8012864],[0.04840983],[0.76252174],[0.89400536]
29,29,5,[0.84587795],[0.04819189],[0.8065343],[0.90608937]
30,30,5,[0.8580076],[0.03588561],[0.82870716],[0.90195835]
