,gen,nevals,avg,std,min,max
0,0,50,[0.92687464],[0.06007137],[0.74464446],[1.0031587]
1,1,5,[0.8874401],[0.02688775],[0.8545665],[0.91224384]
2,2,5,[0.8005587],[0.05870258],[0.75262815],[0.8724543]
3,3,5,[0.75262815],[0.],[0.75262815],[0.75262815]
4,4,5,[0.75262815],[0.],[0.75262815],[0.75262815]
5,5,5,[0.75262815],[0.],[0.75262815],[0.75262815]
6,6,5,[0.75262815],[0.],[0.75262815],[0.75262815]
7,7,5,[0.75262815],[0.],[0.75262815],[0.75262815]
8,8,5,[0.7510154],[0.00322542],[0.7445646],[0.75262815]
9,9,5,[0.7724525],[0.02581052],[0.7412464],[0.800778]
10,10,5,[0.74036705],[0.00043967],[0.74014723],[0.7412464]
11,11,5,[0.74014723],[0.],[0.74014723],[0.74014723]
12,12,5,[0.74014723],[0.],[0.74014723],[0.74014723]
13,13,5,[0.74014723],[0.],[0.74014723],[0.74014723]
14,14,5,[0.74014723],[0.],[0.74014723],[0.74014723]
15,15,5,[0.710499],[0.],[0.710499],[0.710499]
16,16,5,[0.710499],[0.],[0.710499],[0.710499]
17,17,5,[0.710499],[0.],[0.710499],[0.710499]
18,18,5,[0.710499],[0.],[0.710499],[0.710499]
19,19,5,[0.710499],[0.],[0.710499],[0.710499]
20,20,5,[0.710499],[0.],[0.710499],[0.710499]
21,21,5,[0.710499],[0.],[0.710499],[0.710499]
22,22,5,[0.64489365],[0.03280268],[0.6284923],[0.710499]
23,23,5,[0.68123996],[0.10711747],[0.6252625],[0.89546025]
24,24,5,[0.62776756],[0.00059174],[0.6272844],[0.6284923]
25,25,5,[0.58792496],[0.03213688],[0.56168526],[0.6272844]
26,26,5,[0.5594356],[0.00112483],[0.5588732],[0.56168526]
27,27,5,[0.5588732],[0.],[0.5588732],[0.5588732]
28,28,5,[0.5588732],[0.],[0.5588732],[0.5588732]
29,29,5,[0.5588732],[0.],[0.5588732],[0.5588732]
30,30,5,[0.5588732],[0.],[0.5588732],[0.5588732]
