,gen,nevals,avg,std,min,max
0,0,50,[0.92697996],[0.05742236],[0.7890928],[1.0066003]
1,1,5,[0.79714257],[0.00641902],[0.79393303],[0.8099806]
2,2,5,[0.7388114],[0.],[0.7388114],[0.7388114]
3,3,5,[0.50650173],[0.18659493],[0.3541476],[0.7350329]
4,4,5,[0.7140786],[0.],[0.7140786],[0.7140786]
5,5,5,[0.6851594],[0.],[0.6851594],[0.6851594]
6,6,5,[0.5844628],[0.04558282],[0.5472446],[0.64029014]
7,7,5,[0.6174966],[0.01307453],[0.60682136],[0.63350964]
8,8,5,[0.789067],[0.0043406],[0.7803858],[0.7912373]
9,9,5,[0.57909554],[0.07644835],[0.5408714],[0.73199224]
10,10,5,[0.57095325],[0.20048586],[0.32560283],[0.7490537]
11,11,5,[0.48962298],[0.2035524],[0.32342315],[0.7389227]
12,12,5,[0.759062],[0.01660783],[0.75075805],[0.79227763]
13,13,5,[0.67980206],[0.10743591],[0.5966039],[0.8584408]
14,14,5,[0.6024319],[0.00713778],[0.5966039],[0.6111738]
15,15,5,[0.6884085],[0.06306182],[0.6111738],[0.7398982]
16,16,5,[0.6964301],[0.],[0.6964301],[0.6964301]
17,17,5,[0.7072209],[0.02158182],[0.6964301],[0.7503846]
18,18,5,[0.767443],[0.00733533],[0.76377535],[0.7821137]
19,19,5,[0.76377535],[0.],[0.76377535],[0.76377535]
20,20,5,[0.7851775],[0.0262122],[0.76377535],[0.81728077]
21,21,5,[0.7286582],[0.01755857],[0.7198789],[0.76377535]
22,22,5,[0.44571686],[0.17581394],[0.3578099],[0.79734474]
23,23,5,[0.39149612],[0.10361849],[0.3396869],[0.5987331]
24,24,5,[0.32692528],[0.01041981],[0.31841755],[0.3396869]
25,25,5,[0.7098939],[0.02480087],[0.69749343],[0.7594956]
26,26,5,[0.7242027],[0.],[0.7242027],[0.7242027]
27,27,5,[0.39840347],[0.13741027],[0.32969832],[0.673224]
28,28,5,[0.5231892],[0.192309],[0.30294332],[0.79443747]
29,29,5,[0.35571483],[0.12701117],[0.29220924],[0.60973716]
30,30,5,[0.80267507],[0.01388504],[0.79573256],[0.8304452]
