,gen,nevals,avg,std,min,max
0,0,50,[0.9115014],[0.06036331],[0.7544936],[1.0075898]
1,1,5,[0.7305485],[0.15303333],[0.6055985],[0.9190295]
2,2,5,[0.6055985],[0.],[0.6055985],[0.6055985]
3,3,5,[0.6055985],[0.],[0.6055985],[0.6055985]
4,4,5,[0.6055985],[0.],[0.6055985],[0.6055985]
5,5,5,[0.6055985],[0.],[0.6055985],[0.6055985]
6,6,5,[0.6055985],[0.],[0.6055985],[0.6055985]
7,7,5,[0.6055985],[0.],[0.6055985],[0.6055985]
8,8,5,[0.49056768],[0.14088339],[0.3180215],[0.6055985]
9,9,5,[0.28990045],[0.],[0.28990045],[0.28990045]
10,10,5,[0.28990045],[0.],[0.28990045],[0.28990045]
11,11,5,[0.28990045],[0.],[0.28990045],[0.28990045]
12,12,5,[0.28990045],[0.],[0.28990045],[0.28990045]
13,13,5,[0.28990045],[0.],[0.28990045],[0.28990045]
14,14,5,[0.28990045],[0.],[0.28990045],[0.28990045]
15,15,5,[0.28990045],[0.],[0.28990045],[0.28990045]
16,16,5,[0.28990045],[0.],[0.28990045],[0.28990045]
17,17,5,[0.28990045],[0.],[0.28990045],[0.28990045]
18,18,5,[0.28990045],[0.],[0.28990045],[0.28990045]
19,19,5,[0.28990045],[0.],[0.28990045],[0.28990045]
20,20,5,[0.28990045],[0.],[0.28990045],[0.28990045]
21,21,5,[0.28990045],[0.],[0.28990045],[0.28990045]
22,22,5,[0.28990045],[0.],[0.28990045],[0.28990045]
23,23,5,[0.28990045],[0.],[0.28990045],[0.28990045]
24,24,5,[0.47459322],[0.22620332],[0.28990045],[0.7530571]
25,25,5,[0.5670918],[0.03608359],[0.4958949],[0.58869755]
26,26,5,[0.29005018],[0.00029949],[0.28990045],[0.29064918]
27,27,5,[0.28990045],[0.],[0.28990045],[0.28990045]
28,28,5,[0.28990045],[0.],[0.28990045],[0.28990045]
29,29,5,[0.28990045],[0.],[0.28990045],[0.28990045]
30,30,5,[0.28990045],[0.],[0.28990045],[0.28990045]
