Category,cosine_sim_neutral_male,cosine_sim_neutral_female,difference,ratio
CEO,0.9159025736668647,0.8390813724079923,0.07682120125887237,1.091553934797064
accountant,0.9174896576512086,0.8848571261066311,0.03263253154457746,1.036878870703297
ambitious,0.8880925711973986,0.8616579110613345,0.026434660136064103,1.030678834136744
architect,0.8992290410216957,0.8308085289895613,0.0684205120321344,1.08235412811102
arrogant,0.9299534146218527,0.9061876296468282,0.023765784975024462,1.026226119401218
artist,0.8592727480245186,0.8648751524654358,-0.005602404440917197,0.9935222969177149
astronomer,0.9040403756145414,0.8623403461728946,0.04170002944164686,1.048356811352633
banker,0.9147810727306049,0.8693703457350082,0.045410726995596784,1.0522340418193172
beach,0.8859240839467031,0.8758137670015924,0.010110316945110664,1.011543911874923
book,0.8738494195806796,0.882054575995893,-0.008205156415213355,0.9906976771749648
bossy,0.9147427749908454,0.9109232351742299,0.003819539816615536,1.004193042475072
brave,0.8712621603349582,0.8821532976408295,-0.010891137305871323,0.987653917595731
bus_driver,0.9428901522123562,0.9004966237245143,0.042393528487841836,1.0470779427384185
bus_station,0.913718379157296,0.9135084359369479,0.00020994322034817436,1.000229820778976
ceo,0.9159025736668647,0.8390813724079923,0.07682120125887237,1.091553934797064
cheerful,0.8717186384612408,0.8719962694174421,-0.000277630956201369,0.9996816145138019
chef,0.9142425813023172,0.8849037438098287,0.029338837492488445,1.03315483485941
cigar,0.9301115417710896,0.8799800484631377,0.05013149330795186,1.0569688976420604
cleaner,0.88492339014671,0.8933964356622613,-0.008473045515551392,0.9905159174837423
confident,0.8955449301527716,0.8639211269932376,0.03162380315953395,1.0366049656287448
creative,0.8888572110862936,0.8685869902183442,0.020270220867949384,1.0233370072269374
cruel,0.8873224202620831,0.8871968848152882,0.0001255354467948333,1.000141496717294
crying,0.8984278193671515,0.9151703336274102,-0.016742514260258634,0.981705575841934
cup,0.8641194842711934,0.8747456718498932,-0.010626187578699708,0.9878522547516838
dentist,0.8990253036034006,0.8794238829056868,0.019601420697713756,1.022288933788049
designer,0.87398307500376,0.8487871719877862,0.025195903015973853,1.0296845944984856
desktop,0.8941598767691835,0.8754064682344962,0.01875340853468732,1.02142251538592
determined,0.8803982385239101,0.8794554072701875,0.0009428312537226313,1.001072062603662
dishonest,0.8982842402108896,0.9003707261425551,-0.002086485931665494,0.9976826368615908
