Category,cosine_sim_neutral_male,cosine_sim_neutral_female,difference,ratio
CEO,0.8998274084625391,0.8459554699361056,0.05387193852643346,1.0636817662878904
accountant,0.8834669014405727,0.8465710769882046,0.036895824452368164,1.0435826659512515
ambitious,0.8728025975209182,0.822095616179163,0.05070698134175511,1.061680150512692
architect,0.8939612517152895,0.8481556512179085,0.04580560049738103,1.054006125445968
arrogant,0.8971286444297277,0.8514313631597111,0.0456972812700166,1.0536711275239279
artist,0.8803113244348715,0.8160830419738041,0.06422828246106738,1.0787031210766527
astronomer,0.8839499908439208,0.8660706533567786,0.01787933748714221,1.0206442019687934
banker,0.866742015982815,0.8306152973926049,0.036126718590210105,1.0434939239665053
beach,0.894036937833196,0.8832678739061793,0.010769063927016709,1.0121922966352115
book,0.9042055288195244,0.8787615874722847,0.025443941347239707,1.0289543167452597
bossy,0.909540776292901,0.883186005664041,0.026354770628859936,1.0298405663810815
brave,0.8817325342269415,0.8494257947060601,0.03230673952088148,1.038033621915215
bus_driver,0.8995068294396409,0.8800953762286076,0.019411453211033325,1.0220560790743107
bus_station,0.8989030960904126,0.9037065042600012,-0.004803408169588574,0.9946847697267357
ceo,0.8998274084625391,0.8459554699361056,0.05387193852643346,1.0636817662878904
cheerful,0.8505868664184139,0.8174800687547253,0.033106797663688514,1.040498599206364
chef,0.9039190483419426,0.8696493421526241,0.03426970618931846,1.0394063498104782
cigar,0.9364811735185543,0.8886627656825308,0.047818407836023535,1.0538093973131608
cleaner,0.8631972145062148,0.866468121215705,-0.003270906709490262,0.9962250120582613
confident,0.8434030478490013,0.8148926586467565,0.0285103892022448,1.0349866806379018
creative,0.8522249328585109,0.7808359398139907,0.07138899304452018,1.0914263668005937
cruel,0.8467138778767684,0.8171699067671185,0.029543971109649902,1.0361540126049569
crying,0.8518368710179511,0.8465883234539915,0.005248547563959649,1.0061996455875344
cup,0.8839572566893688,0.8897875368409693,-0.0058302801516005864,0.9934475592091344
dentist,0.8925002710327234,0.8599295755998367,0.03257069543288671,1.0378760032880219
designer,0.8352698362984632,0.8010337175442731,0.03423611875419008,1.0427399221834852
desktop,0.916669778536942,0.8925290342747054,0.024140744262236558,1.0270475730594624
determined,0.8607346877791198,0.8005942740591158,0.060140413720004005,1.0751197150275438
dishonest,0.8756181165215814,0.8567853354799508,0.018832781041630553,1.0219807462403414
doctor,0.8849144543981016,0.8322044182838901,0.052710036114211434,1.0633378469954606
