,gen,nevals,avg,std,min,max
0,0,50,[0.9368485],[0.04770457],[0.7783901],[0.99625117]
1,1,5,[0.90003145],[0.02033671],[0.8788547],[0.9336951]
2,2,5,[0.8084324],[0.],[0.8084324],[0.8084324]
3,3,5,[0.8084324],[0.],[0.8084324],[0.8084324]
4,4,5,[0.8084324],[0.],[0.8084324],[0.8084324]
5,5,5,[0.8084324],[0.],[0.8084324],[0.8084324]
6,6,5,[0.8084324],[0.],[0.8084324],[0.8084324]
7,7,5,[0.8084324],[0.],[0.8084324],[0.8084324]
8,8,5,[0.8084324],[0.],[0.8084324],[0.8084324]
9,9,5,[0.8084324],[0.],[0.8084324],[0.8084324]
10,10,5,[0.8084324],[0.],[0.8084324],[0.8084324]
11,11,5,[0.8084324],[0.],[0.8084324],[0.8084324]
12,12,5,[0.64477915],[0.08182661],[0.60386586],[0.8084324]
13,13,5,[0.60386586],[0.],[0.60386586],[0.60386586]
14,14,5,[0.60386586],[0.],[0.60386586],[0.60386586]
15,15,5,[0.44045886],[0.08170348],[0.39960715],[0.60386586]
16,16,5,[0.39960715],[0.],[0.39960715],[0.39960715]
17,17,5,[0.39960715],[0.],[0.39960715],[0.39960715]
18,18,5,[0.39960715],[0.],[0.39960715],[0.39960715]
19,19,5,[0.39960715],[0.],[0.39960715],[0.39960715]
20,20,5,[0.39960715],[0.],[0.39960715],[0.39960715]
21,21,5,[0.39960715],[0.],[0.39960715],[0.39960715]
22,22,5,[0.39960715],[0.],[0.39960715],[0.39960715]
23,23,5,[0.39960715],[0.],[0.39960715],[0.39960715]
24,24,5,[0.39960715],[0.],[0.39960715],[0.39960715]
25,25,5,[0.39960715],[0.],[0.39960715],[0.39960715]
26,26,5,[0.39960715],[0.],[0.39960715],[0.39960715]
27,27,5,[0.39960715],[0.],[0.39960715],[0.39960715]
28,28,5,[0.39960715],[0.],[0.39960715],[0.39960715]
29,29,5,[0.39960715],[0.],[0.39960715],[0.39960715]
30,30,5,[0.47246367],[0.14571303],[0.39960715],[0.76388973]
