,gen,nevals,avg,std,min,max
0,0,30,[0.92648435],[0.05684814],[0.75702614],[0.98698306]
1,1,5,[0.90936774],[0.00364161],[0.907547],[0.916651]
2,2,5,[0.6128939],[0.1049419],[0.5604229],[0.8227776]
3,3,5,[0.5504324],[0.0450563],[0.5279042],[0.64054495]
4,4,5,[0.4937188],[0.21657218],[0.31688836],[0.7589645]
5,5,5,[0.780638],[0.04334702],[0.7589645],[0.86733204]
6,6,5,[0.7153461],[0.],[0.7153461],[0.7153461]
7,7,5,[0.7255883],[0.08647689],[0.68234986],[0.8985421]
8,8,5,[0.5977481],[0.07855921],[0.55846846],[0.7548665]
9,9,5,[0.6155019],[0.10832798],[0.55846846],[0.8319693]
10,10,5,[0.44330472],[0.18109162],[0.30450332],[0.75019103]
11,11,5,[0.3039284],[0.],[0.3039284],[0.3039284]
12,12,5,[0.3039284],[0.],[0.3039284],[0.3039284]
13,13,5,[0.32647365],[0.04509048],[0.3039284],[0.41665462]
14,14,5,[0.4090752],[0.12333788],[0.3256568],[0.64345354]
15,15,5,[0.56770045],[0.08309619],[0.5261523],[0.7338928]
16,16,5,[0.5261523],[0.],[0.5261523],[0.5261523]
17,17,5,[0.5261523],[0.],[0.5261523],[0.5261523]
18,18,5,[0.37983772],[0.0731573],[0.34325907],[0.5261523]
19,19,5,[0.4131813],[0.18112111],[0.32262075],[0.7754235]
20,20,5,[0.5352965],[0.20917237],[0.32262075],[0.88998955]
21,21,5,[0.57327735],[0.01590323],[0.5414708],[0.5812289]
22,22,5,[0.5812289],[0.],[0.5812289],[0.5812289]
23,23,5,[0.5812289],[0.],[0.5812289],[0.5812289]
24,24,5,[0.5812289],[0.],[0.5812289],[0.5812289]
25,25,5,[0.68640774],[0.10231493],[0.60286796],[0.81171745]
