,gen,nevals,avg,std,min,max
0,0,50,[0.91360176],[0.06164818],[0.7443847],[0.99263453]
1,1,5,[0.8897907],[0.00590119],[0.8868401],[0.9015931]
2,2,5,[0.8098904],[0.01051602],[0.80463237],[0.8309224]
3,3,5,[0.84378815],[0.05561592],[0.7773339],[0.9103788]
4,4,5,[0.76922524],[0.00036469],[0.76849586],[0.7694076]
5,5,5,[0.81745595],[0.03615084],[0.7880194],[0.86582935]
6,6,5,[0.7637469],[0.08172828],[0.66624254],[0.8624863]
7,7,5,[0.74356925],[0.08638573],[0.67303556],[0.8493697]
8,8,5,[0.49769717],[0.10907303],[0.40863937],[0.63128376]
9,9,5,[0.7494771],[0.02678274],[0.7206955],[0.8004141]
10,10,5,[0.64645755],[0.06403246],[0.61444134],[0.7745225]
11,11,5,[0.3413795],[0.],[0.3413795],[0.3413795]
12,12,5,[0.7309071],[0.05014692],[0.68996227],[0.79232424]
13,13,5,[0.7033059],[0.],[0.7033059],[0.7033059]
14,14,5,[0.61480135],[0.02947657],[0.5907748],[0.6535587]
15,15,5,[0.7927843],[0.03265109],[0.7764587],[0.8580864]
16,16,5,[0.7827575],[0.01600182],[0.7701664],[0.8083995]
17,17,5,[0.5703978],[0.],[0.5703978],[0.5703978]
18,18,5,[0.8027853],[0.02006713],[0.77820814],[0.81917]
19,19,5,[0.7713133],[0.03699075],[0.7411105],[0.81661755]
20,20,5,[0.8079376],[0.04893465],[0.76798266],[0.8678701]
21,21,5,[0.73112994],[0.01571593],[0.71829796],[0.75037795]
22,22,5,[0.7538241],[0.02054584],[0.7371525],[0.7824441]
23,23,5,[0.6802422],[0.03283246],[0.66382587],[0.745907]
24,24,5,[0.74365145],[0.01175401],[0.7340543],[0.7580471]
25,25,5,[0.727516],[0.],[0.727516],[0.727516]
26,26,5,[0.6826548],[0.05984685],[0.6337901],[0.75595194]
27,27,5,[0.8505583],[0.04861797],[0.8157715],[0.9397698]
28,28,5,[0.7832329],[0.0507481],[0.7561274],[0.88458115]
29,29,5,[0.8289496],[0.00284871],[0.82662356],[0.83243847]
30,30,5,[0.75028694],[0.0643878],[0.7131362],[0.8787471]
