,gen,nevals,avg,std,min,max
0,0,50,[0.94569075],[0.04203585],[0.8281742],[1.0038843]
1,1,5,[0.7792103],[0.01236486],[0.7730279],[0.80394006]
2,2,5,[0.7743315],[0.06936639],[0.7186256],[0.87770027]
3,3,5,[0.7656868],[0.03611653],[0.7476285],[0.83791983]
4,4,5,[0.8461383],[0.02477865],[0.83125615],[0.89500225]
5,5,5,[0.8085934],[0.05085495],[0.78316593],[0.9103033]
6,6,5,[0.88927543],[0.0073899],[0.88390803],[0.90266436]
7,7,5,[0.8978882],[0.01618605],[0.8897951],[0.93026024]
8,8,5,[0.76262087],[0.],[0.76262087],[0.76262087]
9,9,5,[0.7697973],[0.01925743],[0.7601687],[0.80831224]
10,10,5,[0.78151274],[0.01325242],[0.7706922],[0.7977436]
11,11,5,[0.77072763],[0.03625973],[0.7263392],[0.80233264]
12,12,5,[0.7900878],[0.04997146],[0.7651021],[0.89003074]
13,13,5,[0.8810115],[0.02758928],[0.84710824],[0.916487]
14,14,5,[0.81981677],[5.9604645e-08],[0.8198168],[0.8198168]
15,15,5,[0.806176],[0.03912835],[0.77526104],[0.8681549]
16,16,5,[0.79022837],[0.09870528],[0.73455083],[0.98658025]
17,17,5,[0.8446026],[0.00838913],[0.8377529],[0.8548771]
18,18,5,[0.70878804],[0.13054954],[0.6021947],[0.86867785]
19,19,5,[0.6206433],[0.15286262],[0.49583158],[0.8078611]
20,20,5,[0.8800193],[0.03575504],[0.83647704],[0.91599286]
21,21,5,[0.82369137],[0.03292263],[0.78336954],[0.8505726]
22,22,5,[0.7934705],[0.00763617],[0.7896524],[0.8087428]
23,23,5,[0.8030688],[0.],[0.8030688],[0.8030688]
24,24,5,[0.81455594],[0.07234377],[0.7259533],[0.8736244]
25,25,5,[0.75614333],[0.0108559],[0.7472795],[0.76943904]
26,26,5,[0.64950997],[0.],[0.64950997],[0.64950997]
27,27,5,[0.6319541],[0.07230534],[0.5958014],[0.7765648]
28,28,5,[0.88110316],[0.05401573],[0.7731137],[0.91101956]
29,29,5,[0.4306836],[0.2441303],[0.30861846],[0.9189442]
30,30,5,[0.78455496],[0.],[0.78455496],[0.78455496]
