,gen,nevals,avg,std,min,max
0,0,30,[0.970086],[0.05100611],[0.8634248],[1.0613316]
1,1,5,[0.8601969],[5.9604645e-08],[0.8601968],[0.8601968]
2,2,5,[0.89892876],[0.03650326],[0.86938745],[0.95089793]
3,3,5,[0.8956169],[0.03919775],[0.86938745],[0.9704747]
4,4,5,[0.88900006],[0.03922503],[0.86938745],[0.96745]
5,5,5,[0.8592165],[5.9604645e-08],[0.85921645],[0.85921645]
6,6,5,[0.86290133],[0.01670084],[0.85455096],[0.89630306]
7,7,5,[0.8301404],[0.],[0.8301404],[0.8301404]
8,8,5,[0.8301404],[0.],[0.8301404],[0.8301404]
9,9,5,[0.86712945],[0.03020135],[0.8301404],[0.89178866]
10,10,5,[0.79823285],[0.01926445],[0.7825035],[0.8218269]
11,11,5,[0.8038567],[0.02615213],[0.7825035],[0.8358863]
12,12,5,[0.54494596],[0.1939649],[0.3865743],[0.7825035]
13,13,5,[0.47997695],[0.18680528],[0.3865743],[0.85358745]
14,14,5,[0.49277353],[0.2123985],[0.3865743],[0.9175706]
15,15,5,[0.8963337],[0.01486331],[0.8781299],[0.9084695]
16,16,5,[0.870763],[0.04158342],[0.8198693],[0.907519]
17,17,5,[0.8198692],[5.9604645e-08],[0.8198693],[0.8198693]
18,18,5,[0.8208648],[5.9604645e-08],[0.82086474],[0.82086474]
19,19,5,[0.8323833],[0.02303698],[0.82086474],[0.8784572]
20,20,5,[0.9168314],[0.01862125],[0.8993574],[0.95032793]
21,21,5,[0.9410063],[0.01372389],[0.9298008],[0.9578146]
22,22,5,[0.90023535],[0.02741764],[0.86665577],[0.9226218]
23,23,5,[0.8579219],[0.05467764],[0.8243167],[0.96524364]
24,24,5,[0.85303056],[0.02181796],[0.83646256],[0.8905587]
25,25,5,[0.8733777],[0.06418645],[0.84128445],[1.0017506]
