,gen,nevals,avg,std,min,max
0,0,30,[0.92339236],[0.05759997],[0.7353795],[0.9933643]
1,1,5,[0.90863574],[0.00099292],[0.907825],[0.9098518]
2,2,5,[0.8745204],[0.02549422],[0.84329647],[0.89533633]
3,3,5,[0.79245865],[0.00536804],[0.7897746],[0.8031947]
4,4,5,[0.6752963],[0.05379345],[0.64839953],[0.78288317]
5,5,5,[0.8250189],[0.01040413],[0.8101382],[0.84282196]
6,6,5,[0.8018656],[0.01077306],[0.796479],[0.82341164]
7,7,5,[0.79741144],[0.00114202],[0.796479],[0.7988101]
8,8,5,[0.7608032],[0.03260062],[0.7208758],[0.7874215]
9,9,5,[0.6384834],[0.02609169],[0.6171796],[0.670439]
10,10,5,[0.5250634],[0.16530597],[0.3226058],[0.6600352]
11,11,5,[0.66576016],[0.05213052],[0.6221801],[0.7643703]
12,12,5,[0.65458196],[0.06045854],[0.6243527],[0.77549905]
13,13,5,[0.70009315],[0.09301053],[0.6243527],[0.82443184]
14,14,5,[0.6256571],[0.08588622],[0.5659486],[0.7945584]
15,15,5,[0.7801614],[0.],[0.7801614],[0.7801614]
16,16,5,[0.45137435],[0.18401754],[0.35936555],[0.81940943]
17,17,5,[0.5742461],[0.16499242],[0.37217247],[0.70896184]
18,18,5,[0.5846964],[0.17457086],[0.37217247],[0.7612135]
19,19,5,[0.46455184],[0.17838939],[0.37535715],[0.82133067]
20,20,5,[0.37136292],[0.],[0.37136292],[0.37136292]
21,21,5,[0.79032665],[0.08360977],[0.74852175],[0.9575462]
22,22,5,[0.74106735],[0.00608649],[0.73609775],[0.74852175]
23,23,5,[0.73609775],[0.],[0.73609775],[0.73609775]
24,24,5,[0.8267501],[0.0301291],[0.81168556],[0.8870083]
25,25,5,[0.74631494],[0.03259442],[0.7197017],[0.7862348]
