,gen,nevals,avg,std,min,max
0,0,30,[0.9247862],[0.05255318],[0.7756771],[1.012018]
1,1,5,[0.88750887],[0.00984326],[0.8787755],[0.9057195]
2,2,5,[0.8061115],[5.9604645e-08],[0.8061116],[0.8061116]
3,3,5,[0.8051422],[5.9604645e-08],[0.80514216],[0.80514216]
4,4,5,[0.7250055],[0.01019933],[0.71990585],[0.7454042]
5,5,5,[0.5113057],[0.13098985],[0.3508765],[0.6182584]
6,6,5,[0.3533488],[0.12328298],[0.29170728],[0.5999147]
7,7,5,[0.59202015],[0.13394259],[0.35267937],[0.768361]
8,8,5,[0.7583596],[0.01214097],[0.7522892],[0.7826416]
9,9,5,[0.85870457],[0.],[0.85870457],[0.85870457]
10,10,5,[0.49958515],[0.22971518],[0.3847276],[0.95901555]
11,11,5,[0.72683316],[0.],[0.72683316],[0.72683316]
12,12,5,[0.766617],[0.07956769],[0.72683316],[0.9257524]
13,13,5,[0.6146906],[0.05607128],[0.58665496],[0.72683316]
14,14,5,[0.48402253],[0.12846017],[0.41979244],[0.74094284]
15,15,5,[0.41979247],[2.9802322e-08],[0.41979244],[0.41979244]
16,16,5,[0.55935115],[0.17092381],[0.41979244],[0.7686892]
17,17,5,[0.68382484],[0.01517552],[0.6652387],[0.69621557]
18,18,5,[0.76399696],[0.02198474],[0.75300467],[0.80796653]
19,19,5,[0.32429686],[0.],[0.32429686],[0.32429686]
20,20,5,[0.3898662],[0.1311387],[0.32429686],[0.6521436]
21,21,5,[0.49390632],[0.12228724],[0.3940592],[0.643677]
22,22,5,[0.49956203],[0.22426412],[0.38742998],[0.94809026]
23,23,5,[0.71266824],[0.03505464],[0.69514096],[0.78277755]
24,24,5,[0.69514096],[0.],[0.69514096],[0.69514096]
25,25,5,[0.7265481],[0.04521777],[0.70393926],[0.8169837]
