,gen,nevals,avg,std,min,max
0,0,50,[0.92600024],[0.05332641],[0.7557973],[1.012314]
1,1,5,[0.8335689],[0.01838216],[0.81855994],[0.8560824]
2,2,5,[0.9088004],[0.01911399],[0.8992435],[0.94702846]
3,3,5,[0.78749573],[0.0050813],[0.7833469],[0.79371905]
4,4,5,[0.7785929],[0.01702818],[0.7577377],[0.7924963]
5,5,5,[0.7243856],[0.],[0.7243856],[0.7243856]
6,6,5,[0.5952876],[0.],[0.5952876],[0.5952876]
7,7,5,[0.57007337],[0.194021],[0.38140887],[0.9112147]
8,8,5,[0.70363176],[0.],[0.70363176],[0.70363176]
9,9,5,[0.76459134],[0.03928656],[0.7326526],[0.81826806]
10,10,5,[0.6070526],[0.08191359],[0.56609577],[0.77087975]
11,11,5,[0.64948404],[0.10849729],[0.5826066],[0.8652408]
12,12,5,[0.8236648],[0.02032642],[0.81350154],[0.8643176]
13,13,5,[0.8832511],[0.08694476],[0.75149906],[0.97962946]
14,14,5,[0.8029504],[0.03329647],[0.78630215],[0.8695433]
15,15,5,[0.76904213],[0.08765595],[0.6974714],[0.8763983]
16,16,5,[0.8320382],[0.00402948],[0.8287481],[0.83697325]
17,17,5,[0.8213708],[0.01595464],[0.8083439],[0.84091115]
18,18,5,[0.73022574],[0.05864603],[0.70090276],[0.84751785]
19,19,5,[0.7251103],[0.],[0.7251103],[0.7251103]
20,20,5,[0.785382],[0.00724331],[0.7794679],[0.79425323]
21,21,5,[0.73924685],[0.01622234],[0.7260014],[0.7591151]
22,22,5,[0.7670479],[0.02459249],[0.74696815],[0.79716736]
23,23,5,[0.7786485],[0.08973549],[0.7053798],[0.8885516]
24,24,5,[0.7455206],[0.],[0.7455206],[0.7455206]
25,25,5,[0.8275174],[5.9604645e-08],[0.82751745],[0.82751745]
26,26,5,[0.7943261],[0.04469714],[0.7578311],[0.84906876]
27,27,5,[0.8841759],[0.01391263],[0.87721956],[0.91200113]
28,28,5,[0.7586559],[0.07211345],[0.7001975],[0.85997075]
29,29,5,[0.74584985],[0.],[0.74584985],[0.74584985]
30,30,5,[0.54479563],[0.12630764],[0.48164183],[0.79741096]
