,gen,nevals,avg,std,min,max
0,0,30,[0.9293001],[0.06792322],[0.7163726],[0.9992422]
1,1,5,[0.7480065],[0.],[0.7480065],[0.7480065]
2,2,5,[0.8198593],[0.00742102],[0.81614876],[0.8347013]
3,3,5,[0.81220835],[0.00293479],[0.808614],[0.81460464]
4,4,5,[0.805809],[0.00140252],[0.8051077],[0.808614]
5,5,5,[0.57601804],[0.18705094],[0.4232916],[0.8051077]
6,6,5,[0.6750289],[0.00488086],[0.67258847],[0.6847906]
7,7,5,[0.6051514],[0.02179917],[0.58735245],[0.6318498]
8,8,5,[0.60445726],[0.02097774],[0.58735245],[0.6318498]
9,9,5,[0.59831786],[0.02193081],[0.58735245],[0.6421795]
10,10,5,[0.65459937],[0.08236031],[0.58735245],[0.75546974]
11,11,5,[0.66687334],[0.10113475],[0.58735245],[0.82925016]
12,12,5,[0.7672798],[0.],[0.7672798],[0.7672798]
13,13,5,[0.7283271],[0.01947634],[0.71858895],[0.7672798]
14,14,5,[0.7684401],[0.01129277],[0.7592196],[0.78227085]
15,15,5,[0.47382396],[0.21177618],[0.30090943],[0.7331958]
16,16,5,[0.6725889],[0.07303856],[0.6129531],[0.76204246]
17,17,5,[0.7777412],[0.],[0.7777412],[0.7777412]
18,18,5,[0.78814584],[0.02080927],[0.7777412],[0.82976437]
19,19,5,[0.7126773],[0.03226388],[0.6965453],[0.777205]
20,20,5,[0.7598244],[0.01292844],[0.75336015],[0.78568125]
21,21,5,[0.7609404],[0.02555311],[0.74652344],[0.8117715]
22,22,5,[0.7112705],[0.06949491],[0.65452814],[0.79638404]
23,23,5,[0.86131227],[0.05781317],[0.8141081],[0.9321187]
24,24,5,[0.8797342],[0.0116715],[0.87389845],[0.9030772]
25,25,5,[0.6632139],[0.],[0.6632139],[0.6632139]
