,gen,nevals,avg,std,min,max
0,0,30,[0.9722596],[0.05571738],[0.8523221],[1.0533944]
1,1,5,[0.9395962],[0.0161649],[0.9315138],[0.97192603]
2,2,5,[0.8972465],[0.01713366],[0.8886796],[0.9315138]
3,3,5,[0.9303697],[0.03182757],[0.9144559],[0.9940248]
4,4,5,[0.9041411],[0.03998346],[0.88414943],[0.9841081]
5,5,5,[0.87570554],[0.],[0.87570554],[0.87570554]
6,6,5,[0.94691646],[5.9604645e-08],[0.9469165],[0.9469165]
7,7,5,[0.9165977],[0.02475519],[0.8963852],[0.9469165]
8,8,5,[0.9002293],[0.00768812],[0.8963852],[0.9156055]
9,9,5,[0.91322404],[0.03367772],[0.8963852],[0.9805795]
10,10,5,[0.9199993],[0.00585277],[0.91522056],[0.9271675]
11,11,5,[0.8596843],[0.03084034],[0.82191277],[0.88486534]
12,12,5,[0.7614893],[0.10953447],[0.6720547],[0.895641]
13,13,5,[0.9086865],[0.03179956],[0.88904446],[0.97103184]
14,14,5,[0.95743287],[0.01081467],[0.9486027],[0.97067803]
15,15,5,[0.8399688],[0.],[0.8399688],[0.8399688]
16,16,5,[0.97186536],[0.01827179],[0.94948703],[0.98678416]
17,17,5,[0.90246505],[0.0572648],[0.8738327],[1.0169947]
18,18,5,[0.8698128],[0.04300923],[0.8267455],[0.9437374]
19,19,5,[0.872651],[0.05622255],[0.8267455],[0.9415093]
20,20,5,[0.88469994],[0.07097933],[0.8267455],[0.97163147]
21,21,5,[0.90352],[0.01798048],[0.89452976],[0.93948096]
22,22,5,[0.8961954],[0.02715996],[0.8777802],[0.94774437]
23,23,5,[0.9235557],[0.03369433],[0.88250375],[0.9540596]
24,24,5,[0.8765837],[0.00592603],[0.87174505],[0.8838415]
25,25,5,[0.93425304],[0.00182157],[0.9333423],[0.9378962]
