,gen,nevals,avg,std,min,max
0,0,50,[0.92253923],[0.05772348],[0.7848558],[0.99428487]
1,1,5,[0.8542603],[0.],[0.8542603],[0.8542603]
2,2,5,[0.8114096],[0.00066576],[0.810866],[0.812225]
3,3,5,[0.62120414],[0.09662247],[0.5728929],[0.8144491]
4,4,5,[0.73763114],[0.12973897],[0.57873404],[0.8435626]
5,5,5,[0.77818215],[0.02686479],[0.7485952],[0.8086354]
6,6,5,[0.7670724],[0.05045214],[0.7418463],[0.86797667]
7,7,5,[0.75632644],[0.],[0.75632644],[0.75632644]
8,8,5,[0.83548343],[0.01702769],[0.82476854],[0.8687116]
9,9,5,[0.58684146],[0.02514446],[0.56631106],[0.617637]
10,10,5,[0.7378115],[0.02001572],[0.72780365],[0.77784294]
11,11,5,[0.75855374],[0.],[0.75855374],[0.75855374]
12,12,5,[0.74454504],[0.04363035],[0.708921],[0.7979811]
13,13,5,[0.7900997],[0.05265127],[0.7608399],[0.8949802]
14,14,5,[0.80240834],[5.9604645e-08],[0.8024083],[0.8024083]
15,15,5,[0.85787],[0.00393143],[0.853055],[0.86108]
16,16,5,[0.35414413],[0.],[0.35414413],[0.35414413]
17,17,5,[0.8119627],[0.01591125],[0.8040071],[0.8437852]
18,18,5,[0.7848993],[0.04914932],[0.7452612],[0.8564901]
19,19,5,[0.77589536],[0.04985437],[0.75096816],[0.8756041]
20,20,5,[0.41666526],[0.23957208],[0.2968792],[0.8958094]
21,21,5,[0.7368383],[0.],[0.7368383],[0.7368383]
22,22,5,[0.75134176],[0.0180037],[0.7423399],[0.78734916]
23,23,5,[0.7715092],[0.],[0.7715092],[0.7715092]
24,24,5,[0.59411097],[0.08431642],[0.5519527],[0.7627438]
25,25,5,[0.65958583],[0.0652514],[0.60631406],[0.74101764]
26,26,5,[0.8150612],[0.04390077],[0.77921635],[0.8688284]
27,27,5,[0.9478275],[0.01500694],[0.9179059],[0.95758474]
28,28,5,[0.7788025],[0.01938939],[0.76910776],[0.81758124]
29,29,5,[0.52925575],[0.2335061],[0.33859882],[0.81524116]
30,30,5,[0.58942455],[0.01664198],[0.5758364],[0.6098067]
