,gen,nevals,avg,std,min,max
0,0,50,[0.9331516],[0.04879007],[0.8012865],[1.0011538]
1,1,5,[0.8898671],[0.01029576],[0.8842714],[0.9104092]
2,2,5,[0.27154845],[0.],[0.27154845],[0.27154845]
3,3,5,[0.37768352],[0.],[0.37768352],[0.37768352]
4,4,5,[0.46656862],[0.16117677],[0.2691682],[0.5981689]
5,5,5,[0.5934512],[0.203871],[0.34376127],[0.7599112]
6,6,5,[0.75270474],[0.02143069],[0.7264576],[0.7702028]
7,7,5,[0.6486534],[0.0802144],[0.6085462],[0.8090822]
8,8,5,[0.7525531],[0.01886117],[0.74312246],[0.7902754]
9,9,5,[0.72916925],[0.0334498],[0.7124444],[0.7960689]
10,10,5,[0.70849705],[0.00674579],[0.70512414],[0.7219886]
11,11,5,[0.6674193],[0.06701926],[0.6126984],[0.7495009]
12,12,5,[0.43230432],[0.16530588],[0.34965137],[0.7629161]
13,13,5,[0.60549676],[0.],[0.60549676],[0.60549676]
14,14,5,[0.76832896],[0.0147454],[0.7507402],[0.7861601]
15,15,5,[0.69559133],[0.09320524],[0.6489887],[0.8820018]
16,16,5,[0.78522396],[0.],[0.78522396],[0.78522396]
17,17,5,[0.7132343],[0.0300001],[0.68873936],[0.7499768]
18,18,5,[0.7871126],[0.00274076],[0.7848748],[0.79046935]
19,19,5,[0.7579047],[0.01063643],[0.74487776],[0.7665893]
20,20,5,[0.74295026],[0.0126497],[0.7366254],[0.76824963]
21,21,5,[0.7784327],[0.01387851],[0.77149343],[0.8061897]
22,22,5,[0.6561762],[0.07059224],[0.6208801],[0.7973607]
23,23,5,[0.6024083],[0.],[0.6024083],[0.6024083]
24,24,5,[0.6874814],[0.1221395],[0.60268104],[0.9163112]
25,25,5,[0.68370926],[0.10811559],[0.5954333],[0.8161233]
26,26,5,[0.74152607],[0.],[0.74152607],[0.74152607]
27,27,5,[0.7768728],[0.00569772],[0.77222073],[0.78385115]
28,28,5,[0.79357094],[0.0110356],[0.78456044],[0.80708677]
29,29,5,[0.42023715],[0.1772698],[0.33160225],[0.77477676]
30,30,5,[0.61823386],[6.1917315e-05],[0.61820287],[0.61835766]
