,gen,nevals,avg,std,min,max
0,0,50,[0.9306335],[0.05437937],[0.7580534],[1.0003753]
1,1,5,[0.86535394],[0.04554676],[0.8287645],[0.933115]
2,2,5,[0.82876456],[5.9604645e-08],[0.8287645],[0.8287645]
3,3,5,[0.8273584],[0.00172205],[0.8252494],[0.8287645]
4,4,5,[0.7908745],[0.04640559],[0.7340395],[0.8287645]
5,5,5,[0.743992],[0.],[0.743992],[0.743992]
6,6,5,[0.743992],[0.],[0.743992],[0.743992]
7,7,5,[0.743992],[0.],[0.743992],[0.743992]
8,8,5,[0.88207024],[0.04608957],[0.8256719],[0.9231968]
9,9,5,[0.783013],[0.02872603],[0.76864994],[0.840465]
10,10,5,[0.75065136],[0.02204363],[0.72365355],[0.76864994]
11,11,5,[0.72365355],[0.],[0.72365355],[0.72365355]
12,12,5,[0.72365355],[0.],[0.72365355],[0.72365355]
13,13,5,[0.72365355],[0.],[0.72365355],[0.72365355]
14,14,5,[0.76377404],[0.0208539],[0.7533471],[0.80548185]
15,15,5,[0.7905747],[0.04867575],[0.7533471],[0.8733645]
16,16,5,[0.6914452],[0.04408806],[0.6554474],[0.7454418]
17,17,5,[0.4748649],[0.13363567],[0.31149673],[0.59857863]
18,18,5,[0.60839516],[0.0431113],[0.5868395],[0.69461775]
19,19,5,[0.77419317],[0.00482526],[0.77178055],[0.7838437]
20,20,5,[0.77178055],[0.],[0.77178055],[0.77178055]
21,21,5,[0.6969219],[0.04969072],[0.6720765],[0.79630333]
22,22,5,[0.6720765],[0.],[0.6720765],[0.6720765]
23,23,5,[0.71861386],[0.05699641],[0.6720765],[0.78841996]
24,24,5,[0.5379566],[0.06705997],[0.5044266],[0.6720765]
25,25,5,[0.4311247],[0.08977615],[0.3211718],[0.5044266]
26,26,5,[0.69199276],[0.19104682],[0.3184413],[0.86317146]
27,27,5,[0.84032285],[0.04177051],[0.7594504],[0.8771406]
28,28,5,[0.8156287],[0.01258295],[0.8002178],[0.82590264]
29,29,5,[0.82571507],[0.01111713],[0.816638],[0.83933073]
30,30,5,[0.8141757],[0.00301568],[0.81048226],[0.816638]
