,gen,nevals,avg,std,min,max
0,0,30,[0.920039],[0.06245826],[0.7821386],[1.0077115]
1,1,5,[0.80555105],[0.0725449],[0.7470595],[0.9113769]
2,2,5,[0.8743919],[0.0159723],[0.86135066],[0.893954]
3,3,5,[0.81772727],[0.00332246],[0.8150145],[0.8217964]
4,4,5,[0.7132184],[0.02344259],[0.6940776],[0.7419296]
5,5,5,[0.68367845],[0.00849092],[0.6767456],[0.6940776]
6,6,5,[0.71812314],[0.06685714],[0.6635345],[0.8000061]
7,7,5,[0.7794334],[0.01313559],[0.7687082],[0.79552114]
8,8,5,[0.7910514],[0.00893965],[0.773172],[0.79552114]
9,9,5,[0.7667723],[0.0488519],[0.72688484],[0.82660335]
10,10,5,[0.6772423],[0.07382293],[0.64033085],[0.82488817]
11,11,5,[0.6945571],[0.06285303],[0.6631305],[0.8202631]
12,12,5,[0.737898],[0.0610474],[0.6631305],[0.7878587]
13,13,5,[0.6237244],[0.12062749],[0.47598654],[0.72221637]
14,14,5,[0.37779817],[0.],[0.37779817],[0.37779817]
15,15,5,[0.3557327],[0.02702459],[0.32263446],[0.37779817]
16,16,5,[0.6340121],[0.21018364],[0.37779817],[0.84194386]
17,17,5,[0.58753],[0.0063473],[0.5843564],[0.6002247]
18,18,5,[0.5843564],[0.],[0.5843564],[0.5843564]
19,19,5,[0.628267],[0.08782115],[0.5843564],[0.8039093]
20,20,5,[0.6759507],[0.1121797],[0.5843564],[0.8133423]
21,21,5,[0.7673379],[0.00548823],[0.76061624],[0.77181906]
22,22,5,[0.7902473],[0.00080185],[0.7898464],[0.79185104]
23,23,5,[0.8346451],[0.03876203],[0.8033396],[0.89060885]
24,24,5,[0.83089334],[0.02389095],[0.8113864],[0.8601536]
25,25,5,[0.65015674],[0.],[0.65015674],[0.65015674]
