,gen,nevals,avg,std,min,max
0,0,30,[0.9347342],[0.05428628],[0.8013958],[0.9955535]
1,1,5,[0.77870464],[0.],[0.77870464],[0.77870464]
2,2,5,[0.728594],[0.02505529],[0.7160664],[0.77870464]
3,3,5,[0.71161777],[0.1501591],[0.5890134],[0.8955244]
4,4,5,[0.6910021],[0.08588881],[0.64805764],[0.8627797]
5,5,5,[0.65876615],[0.06931698],[0.62410766],[0.7974001]
6,6,5,[0.6699618],[0.05027016],[0.64482677],[0.77050215]
7,7,5,[0.60702926],[0.01889877],[0.59757984],[0.64482677]
8,8,5,[0.63972026],[0.08428074],[0.59757984],[0.80828166]
9,9,5,[0.59757984],[0.],[0.59757984],[0.59757984]
10,10,5,[0.43013602],[0.1367173],[0.3185068],[0.59757984]
11,11,5,[0.3185068],[0.],[0.3185068],[0.3185068]
12,12,5,[0.411215],[0.18541646],[0.3185068],[0.782048]
13,13,5,[0.3185068],[0.],[0.3185068],[0.3185068]
14,14,5,[0.36959693],[0.10218021],[0.3185068],[0.5739573]
15,15,5,[0.32101235],[0.00306865],[0.3185068],[0.32477066]
16,16,5,[0.47594658],[0.],[0.47594658],[0.47594658]
17,17,5,[0.34609565],[0.06492547],[0.3136329],[0.47594658]
18,18,5,[0.46469107],[0.13361038],[0.3026834],[0.607051]
19,19,5,[0.7628502],[0.01899005],[0.75131917],[0.8002201]
20,20,5,[0.7298237],[0.10322817],[0.65395135],[0.9147156]
21,21,5,[0.78421694],[0.],[0.78421694],[0.78421694]
22,22,5,[0.8041353],[0.03312096],[0.7875748],[0.87037724]
23,23,5,[0.8204769],[0.02167811],[0.8027768],[0.84702706]
24,24,5,[0.81539184],[0.00387948],[0.8134521],[0.8231508]
25,25,5,[0.77037466],[0.01816121],[0.74813175],[0.78520316]
