,gen,nevals,avg,std,min,max
0,0,30,[0.9916716],[0.04957636],[0.8537267],[1.052699]
1,1,5,[0.92269546],[0.00240858],[0.9214912],[0.92751265]
2,2,5,[0.90117085],[0.01659152],[0.8876239],[0.9214912]
3,3,5,[0.61096513],[0.128427],[0.5467517],[0.8678192]
4,4,5,[0.83097774],[0.02962453],[0.81616545],[0.8902268]
5,5,5,[0.7389372],[0.03861413],[0.7196301],[0.81616545]
6,6,5,[0.7563018],[0.01833584],[0.7196301],[0.76546973]
7,7,5,[0.9070695],[0.00278301],[0.90479714],[0.91047794]
8,8,5,[0.8736783],[0.],[0.8736783],[0.8736783]
9,9,5,[0.8752387],[0.01404345],[0.8637723],[0.89243835]
10,10,5,[0.87143785],[0.015331],[0.8637723],[0.9020998]
11,11,5,[0.83329374],[0.11038613],[0.7431638],[0.9684886]
12,12,5,[0.77103984],[0.05575201],[0.7431638],[0.88254386]
13,13,5,[0.8751194],[0.],[0.8751194],[0.8751194]
14,14,5,[0.8153332],[0.01856573],[0.80605036],[0.8524647]
15,15,5,[0.75594616],[0.05864021],[0.70806664],[0.82776546]
16,16,5,[0.88314307],[0.00189121],[0.8808268],[0.8846872]
17,17,5,[0.9069239],[0.02725922],[0.8846872],[0.94212526]
18,18,5,[0.88363504],[0.0409978],[0.83342326],[0.91710967]
19,19,5,[0.847688],[0.02081988],[0.8221889],[0.8646873]
20,20,5,[0.8262812],[0.00818458],[0.8221889],[0.84265035]
21,21,5,[0.9009501],[0.02639847],[0.8794187],[0.9351714]
22,22,5,[0.87716186],[0.00136499],[0.8764794],[0.8798919]
23,23,5,[0.8643236],[0.01488778],[0.84608984],[0.8764794]
24,24,5,[0.84977543],[0.0218037],[0.8319728],[0.8764794]
25,25,5,[0.8536774],[0.03526779],[0.8360435],[0.92421293]
